task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task040,outputs\onnx\task040.onnx,outputs\candidates\identity_removed\task040_ZeroAddRemoved.onnx,370,370,0,4104,4104,0,0,0,no zero-add patterns found
task041,outputs\onnx\task041.onnx,outputs\candidates\identity_removed\task041_ZeroAddRemoved.onnx,243,243,0,2228,2228,0,0,0,no zero-add patterns found
task042,outputs\onnx\task042.onnx,outputs\candidates\identity_removed\task042_ZeroAddRemoved.onnx,888,888,0,8398,8398,0,0,0,no zero-add patterns found
task043,outputs\onnx\task043.onnx,outputs\candidates\identity_removed\task043_ZeroAddRemoved.onnx,777,777,0,1966,1966,0,0,0,no zero-add patterns found
task044,outputs\onnx\task044.onnx,outputs\candidates\identity_removed\task044_ZeroAddRemoved.onnx,6291,6291,0,148684,148684,0,0,0,no zero-add patterns found
task045,outputs\onnx\task045.onnx,outputs\candidates\identity_removed\task045_ZeroAddRemoved.onnx,244,244,0,1438,1438,0,0,0,no zero-add patterns found
task046,outputs\onnx\task046.onnx,outputs\candidates\identity_removed\task046_ZeroAddRemoved.onnx,4446,4446,0,8963,8963,0,0,0,no zero-add patterns found
task047,outputs\onnx\task047.onnx,outputs\candidates\identity_removed\task047_ZeroAddRemoved.onnx,747,747,0,3246,3246,0,0,0,no zero-add patterns found
task048,outputs\onnx\task048.onnx,outputs\candidates\identity_removed\task048_ZeroAddRemoved.onnx,462,462,0,5695,5695,0,0,0,no zero-add patterns found
task049,outputs\onnx\task049.onnx,outputs\candidates\identity_removed\task049_ZeroAddRemoved.onnx,942,942,0,3516,3516,0,0,0,no zero-add patterns found
task050,outputs\onnx\task050.onnx,outputs\candidates\identity_removed\task050_ZeroAddRemoved.onnx,675,675,0,2540,2540,0,0,0,no zero-add patterns found
task051,outputs\onnx\task051.onnx,outputs\candidates\identity_removed\task051_ZeroAddRemoved.onnx,658,658,0,3330,3330,0,0,0,no zero-add patterns found
task052,outputs\onnx\task052.onnx,outputs\candidates\identity_removed\task052_ZeroAddRemoved.onnx,283,283,0,1277,1277,0,0,0,no zero-add patterns found
task053,outputs\onnx\task053.onnx,outputs\candidates\identity_removed\task053_ZeroAddRemoved.onnx,270,270,0,175,175,0,0,0,no zero-add patterns found
task054,outputs\onnx\task054.onnx,outputs\candidates\identity_removed\task054_ZeroAddRemoved.onnx,1061,1061,0,9728,9728,0,0,0,no zero-add patterns found
task055,outputs\onnx\task055.onnx,outputs\candidates\identity_removed\task055_ZeroAddRemoved.onnx,5090,5090,0,21458,21458,0,0,0,no zero-add patterns found
task056,outputs\onnx\task056.onnx,outputs\candidates\identity_removed\task056_ZeroAddRemoved.onnx,592,592,0,1515,1515,0,0,0,no zero-add patterns found
task057,outputs\onnx\task057.onnx,outputs\candidates\identity_removed\task057_ZeroAddRemoved.onnx,99,99,0,1880,1880,0,0,0,no zero-add patterns found
task058,outputs\onnx\task058.onnx,outputs\candidates\identity_removed\task058_ZeroAddRemoved.onnx,32257,32257,0,27439,27439,0,0,0,no zero-add patterns found
task059,outputs\onnx\task059.onnx,outputs\candidates\identity_removed\task059_ZeroAddRemoved.onnx,12909,12909,0,12715,12715,0,0,0,no zero-add patterns found
task060,outputs\onnx\task060.onnx,outputs\candidates\identity_removed\task060_ZeroAddRemoved.onnx,1057,1057,0,3039,3039,0,0,0,no zero-add patterns found
task061,outputs\onnx\task061.onnx,outputs\candidates\identity_removed\task061_ZeroAddRemoved.onnx,17726,17726,0,17030,17030,0,0,0,no zero-add patterns found
task062,outputs\onnx\task062.onnx,outputs\candidates\identity_removed\task062_ZeroAddRemoved.onnx,4713,4713,0,22124,22124,0,0,0,no zero-add patterns found
task063,outputs\onnx\task063.onnx,outputs\candidates\identity_removed\task063_ZeroAddRemoved.onnx,276,276,0,3709,3709,0,0,0,no zero-add patterns found
task064,outputs\onnx\task064.onnx,outputs\candidates\identity_removed\task064_ZeroAddRemoved.onnx,978,978,0,5809,5809,0,0,0,no zero-add patterns found
task065,outputs\onnx\task065.onnx,outputs\candidates\identity_removed\task065_ZeroAddRemoved.onnx,561,561,0,2705,2705,0,0,0,no zero-add patterns found
task066,outputs\onnx\task066.onnx,outputs\candidates\identity_removed\task066_ZeroAddRemoved.onnx,430,430,0,180173,180173,0,0,0,no zero-add patterns found
task067,outputs\onnx\task067.onnx,outputs\candidates\identity_removed\task067_ZeroAddRemoved.onnx,165,165,0,892,892,0,0,0,no zero-add patterns found
task068,outputs\onnx\task068.onnx,outputs\candidates\identity_removed\task068_ZeroAddRemoved.onnx,199,199,0,2335,2335,0,0,0,no zero-add patterns found
task069,outputs\onnx\task069.onnx,outputs\candidates\identity_removed\task069_ZeroAddRemoved.onnx,7362,7362,0,32330,32330,0,0,0,no zero-add patterns found
task070,outputs\onnx\task070.onnx,outputs\candidates\identity_removed\task070_ZeroAddRemoved.onnx,258,258,0,11844,11844,0,0,0,no zero-add patterns found
task071,outputs\onnx\task071.onnx,outputs\candidates\identity_removed\task071_ZeroAddRemoved.onnx,8238,8238,0,12082,12082,0,0,0,no zero-add patterns found
task072,outputs\onnx\task072.onnx,outputs\candidates\identity_removed\task072_ZeroAddRemoved.onnx,462,462,0,1625,1625,0,0,0,no zero-add patterns found
task073,outputs\onnx\task073.onnx,outputs\candidates\identity_removed\task073_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
task074,outputs\onnx\task074.onnx,outputs\candidates\identity_removed\task074_ZeroAddRemoved.onnx,321,321,0,1824,1824,0,0,0,no zero-add patterns found
task075,outputs\onnx\task075.onnx,outputs\candidates\identity_removed\task075_ZeroAddRemoved.onnx,509,509,0,7736,7736,0,0,0,no zero-add patterns found
task076,outputs\onnx\task076.onnx,outputs\candidates\identity_removed\task076_ZeroAddRemoved.onnx,17538,17538,0,36146,36146,0,0,0,no zero-add patterns found
task077,outputs\onnx\task077.onnx,outputs\candidates\identity_removed\task077_ZeroAddRemoved.onnx,6972,6972,0,9860,9860,0,0,0,no zero-add patterns found
task078,outputs\onnx\task078.onnx,outputs\candidates\identity_removed\task078_ZeroAddRemoved.onnx,276,276,0,2588,2588,0,0,0,no zero-add patterns found
task079,outputs\onnx\task079.onnx,outputs\candidates\identity_removed\task079_ZeroAddRemoved.onnx,1301,1301,0,2695,2695,0,0,0,no zero-add patterns found
task080,outputs\onnx\task080.onnx,outputs\candidates\identity_removed\task080_ZeroAddRemoved.onnx,9335,9335,0,18484,18484,0,0,0,no zero-add patterns found
task081,outputs\onnx\task081.onnx,outputs\candidates\identity_removed\task081_ZeroAddRemoved.onnx,627,627,0,3749,3749,0,0,0,no zero-add patterns found
task082,outputs\onnx\task082.onnx,outputs\candidates\identity_removed\task082_ZeroAddRemoved.onnx,443,443,0,2282,2282,0,0,0,no zero-add patterns found
task083,outputs\onnx\task083.onnx,outputs\candidates\identity_removed\task083_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task084,outputs\onnx\task084.onnx,outputs\candidates\identity_removed\task084_ZeroAddRemoved.onnx,722,722,0,4301,4301,0,0,0,no zero-add patterns found
task085,outputs\onnx\task085.onnx,outputs\candidates\identity_removed\task085_ZeroAddRemoved.onnx,558,558,0,2547,2547,0,0,0,no zero-add patterns found
task086,outputs\onnx\task086.onnx,outputs\candidates\identity_removed\task086_ZeroAddRemoved.onnx,1153,1153,0,4727,4727,0,0,0,no zero-add patterns found
task087,outputs\onnx\task087.onnx,outputs\candidates\identity_removed\task087_ZeroAddRemoved.onnx,144,144,0,474,474,0,0,0,no zero-add patterns found
