task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task159,outputs\onnx\task159.onnx,outputs\candidates\dtype_ablation_20260609\task159_InitializerDtypeCompression.onnx,12549,8489,-4060,12966,9155,-3811,16,16,4,4060
task160,outputs\onnx\task160.onnx,outputs\candidates\dtype_ablation_20260609\task160_InitializerDtypeCompression.onnx,571,571,0,2362,2362,0,13,13,0,0
task161,outputs\onnx\task161.onnx,outputs\candidates\dtype_ablation_20260609\task161_InitializerDtypeCompression.onnx,389,389,0,6008,6008,0,18,18,0,0
task162,outputs\onnx\task162.onnx,outputs\candidates\dtype_ablation_20260609\task162_InitializerDtypeCompression.onnx,183,183,0,2268,2268,0,11,11,0,0
task163,outputs\onnx\task163.onnx,outputs\candidates\dtype_ablation_20260609\task163_InitializerDtypeCompression.onnx,9439,3752,-5687,13875,8509,-5366,22,22,4,1573
task164,outputs\onnx\task164.onnx,outputs\candidates\dtype_ablation_20260609\task164_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task165,outputs\onnx\task165.onnx,outputs\candidates\dtype_ablation_20260609\task165_InitializerDtypeCompression.onnx,3162,2262,-900,4910,4100,-810,15,15,1,900
task166,outputs\onnx\task166.onnx,outputs\candidates\dtype_ablation_20260609\task166_InitializerDtypeCompression.onnx,289,289,0,1628,1628,0,8,8,0,0
task167,outputs\onnx\task167.onnx,outputs\candidates\dtype_ablation_20260609\task167_InitializerDtypeCompression.onnx,1562,752,-810,2375,1652,-723,9,9,1,270
task168,outputs\onnx\task168.onnx,outputs\candidates\dtype_ablation_20260609\task168_InitializerDtypeCompression.onnx,1505,719,-786,7297,6924,-373,11,11,3,262
task169,outputs\onnx\task169.onnx,outputs\candidates\dtype_ablation_20260609\task169_InitializerDtypeCompression.onnx,4799,4199,-600,23816,23364,-452,71,71,2,200
task170,outputs\onnx\task170.onnx,outputs\candidates\dtype_ablation_20260609\task170_InitializerDtypeCompression.onnx,19255,8149,-11106,64849,54058,-10791,33,33,5,3702
task171,outputs\onnx\task171.onnx,outputs\candidates\dtype_ablation_20260609\task171_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task172,outputs\onnx\task172.onnx,outputs\candidates\dtype_ablation_20260609\task172_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task173,outputs\onnx\task173.onnx,outputs\candidates\dtype_ablation_20260609\task173_InitializerDtypeCompression.onnx,751,751,0,10108,10108,0,23,23,0,0
task174,outputs\onnx\task174.onnx,outputs\candidates\dtype_ablation_20260609\task174_InitializerDtypeCompression.onnx,614,614,0,61839,61839,0,24,24,0,0
task175,outputs\onnx\task175.onnx,outputs\candidates\dtype_ablation_20260609\task175_InitializerDtypeCompression.onnx,13760,8360,-5400,12320,7076,-5244,12,12,2,1800
task176,outputs\onnx\task176.onnx,outputs\candidates\dtype_ablation_20260609\task176_InitializerDtypeCompression.onnx,696,471,-225,1420,1259,-161,9,9,1,75
task177,outputs\onnx\task177.onnx,outputs\candidates\dtype_ablation_20260609\task177_InitializerDtypeCompression.onnx,945,945,0,4180,4180,0,12,12,0,0
task178,outputs\onnx\task178.onnx,outputs\candidates\dtype_ablation_20260609\task178_InitializerDtypeCompression.onnx,3009,2421,-588,11303,10778,-525,30,30,1,196
task179,outputs\onnx\task179.onnx,outputs\candidates\dtype_ablation_20260609\task179_InitializerDtypeCompression.onnx,0,0,0,170,170,0,0,0,0,0
task180,outputs\onnx\task180.onnx,outputs\candidates\dtype_ablation_20260609\task180_InitializerDtypeCompression.onnx,4658,4658,0,4414,4414,0,5,5,0,0
task181,outputs\onnx\task181.onnx,outputs\candidates\dtype_ablation_20260609\task181_InitializerDtypeCompression.onnx,672,672,0,3083,3083,0,21,21,0,0
task182,outputs\onnx\task182.onnx,outputs\candidates\dtype_ablation_20260609\task182_InitializerDtypeCompression.onnx,2930,2930,0,70465,70465,0,57,57,0,0
task183,outputs\onnx\task183.onnx,outputs\candidates\dtype_ablation_20260609\task183_InitializerDtypeCompression.onnx,250,250,0,4645,4645,0,9,9,0,0
task184,outputs\onnx\task184.onnx,outputs\candidates\dtype_ablation_20260609\task184_InitializerDtypeCompression.onnx,250,250,0,6934,6934,0,15,15,0,0
task185,outputs\onnx\task185.onnx,outputs\candidates\dtype_ablation_20260609\task185_InitializerDtypeCompression.onnx,595,595,0,18881,18881,0,19,19,0,0
task186,outputs\onnx\task186.onnx,outputs\candidates\dtype_ablation_20260609\task186_InitializerDtypeCompression.onnx,1994,914,-1080,2418,1425,-993,8,8,1,360
task187,outputs\onnx\task187.onnx,outputs\candidates\dtype_ablation_20260609\task187_InitializerDtypeCompression.onnx,1899,1899,0,8852,8852,0,14,14,0,0
task188,outputs\onnx\task188.onnx,outputs\candidates\dtype_ablation_20260609\task188_InitializerDtypeCompression.onnx,352,352,0,4356,4356,0,15,15,0,0
task189,outputs\onnx\task189.onnx,outputs\candidates\dtype_ablation_20260609\task189_InitializerDtypeCompression.onnx,1968,1968,0,8560,8560,0,55,55,0,0
task190,outputs\onnx\task190.onnx,outputs\candidates\dtype_ablation_20260609\task190_InitializerDtypeCompression.onnx,1538,1538,0,8781,8781,0,40,40,0,0
task191,outputs\onnx\task191.onnx,outputs\candidates\dtype_ablation_20260609\task191_InitializerDtypeCompression.onnx,773,773,0,132233,132233,0,39,39,0,0
task192,outputs\onnx\task192.onnx,outputs\candidates\dtype_ablation_20260609\task192_InitializerDtypeCompression.onnx,327,327,0,2511,2511,0,12,12,0,0
task193,outputs\onnx\task193.onnx,outputs\candidates\dtype_ablation_20260609\task193_InitializerDtypeCompression.onnx,327,327,0,1925,1925,0,12,12,0,0
task194,outputs\onnx\task194.onnx,outputs\candidates\dtype_ablation_20260609\task194_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task195,outputs\onnx\task195.onnx,outputs\candidates\dtype_ablation_20260609\task195_InitializerDtypeCompression.onnx,4073,4073,0,5381,5381,0,10,10,0,0
task196,outputs\onnx\task196.onnx,outputs\candidates\dtype_ablation_20260609\task196_InitializerDtypeCompression.onnx,431,431,0,3457,3457,0,14,14,0,0
task197,outputs\onnx\task197.onnx,outputs\candidates\dtype_ablation_20260609\task197_InitializerDtypeCompression.onnx,92,92,0,1758,1758,0,7,7,0,0
task198,outputs\onnx\task198.onnx,outputs\candidates\dtype_ablation_20260609\task198_InitializerDtypeCompression.onnx,2799,1899,-900,6979,6160,-819,14,14,1,900
task199,outputs\onnx\task199.onnx,outputs\candidates\dtype_ablation_20260609\task199_InitializerDtypeCompression.onnx,378,378,0,2948,2948,0,14,14,0,0
task200,outputs\onnx\task200.onnx,outputs\candidates\dtype_ablation_20260609\task200_InitializerDtypeCompression.onnx,965,965,0,14101,14101,0,36,36,0,0
task201,outputs\onnx\task201.onnx,outputs\candidates\dtype_ablation_20260609\task201_InitializerDtypeCompression.onnx,3246,2401,-845,10924,10379,-545,20,20,5,845
task202,outputs\onnx\task202.onnx,outputs\candidates\dtype_ablation_20260609\task202_InitializerDtypeCompression.onnx,50,50,0,3582,3582,0,5,5,0,0
task203,outputs\onnx\task203.onnx,outputs\candidates\dtype_ablation_20260609\task203_InitializerDtypeCompression.onnx,3544,1600,-1944,6437,4649,-1788,15,15,2,648
task204,outputs\onnx\task204.onnx,outputs\candidates\dtype_ablation_20260609\task204_InitializerDtypeCompression.onnx,3202,2302,-900,5801,4973,-828,13,13,1,900
task205,outputs\onnx\task205.onnx,outputs\candidates\dtype_ablation_20260609\task205_InitializerDtypeCompression.onnx,1114,1114,0,48510,48510,0,58,58,0,0
task206,outputs\onnx\task206.onnx,outputs\candidates\dtype_ablation_20260609\task206_InitializerDtypeCompression.onnx,1020,876,-144,20303,20219,-84,33,33,1,144
task207,outputs\onnx\task207.onnx,outputs\candidates\dtype_ablation_20260609\task207_InitializerDtypeCompression.onnx,307,307,0,2330,2330,0,15,15,0,0
task208,outputs\onnx\task208.onnx,outputs\candidates\dtype_ablation_20260609\task208_InitializerDtypeCompression.onnx,1806,1806,0,15885,15885,0,39,39,0,0
task209,outputs\onnx\task209.onnx,outputs\candidates\dtype_ablation_20260609\task209_InitializerDtypeCompression.onnx,116524,73684,-42840,327966,285910,-42056,73,73,12,6120
task210,outputs\onnx\task210.onnx,outputs\candidates\dtype_ablation_20260609\task210_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task211,outputs\onnx\task211.onnx,outputs\candidates\dtype_ablation_20260609\task211_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task212,outputs\onnx\task212.onnx,outputs\candidates\dtype_ablation_20260609\task212_InitializerDtypeCompression.onnx,1321,721,-600,6853,6401,-452,16,16,2,200
task213,outputs\onnx\task213.onnx,outputs\candidates\dtype_ablation_20260609\task213_InitializerDtypeCompression.onnx,660,660,0,25091,25091,0,18,18,0,0
task214,outputs\onnx\task214.onnx,outputs\candidates\dtype_ablation_20260609\task214_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task215,outputs\onnx\task215.onnx,outputs\candidates\dtype_ablation_20260609\task215_InitializerDtypeCompression.onnx,559,559,0,4015,4015,0,19,19,0,0
task216,outputs\onnx\task216.onnx,outputs\candidates\dtype_ablation_20260609\task216_InitializerDtypeCompression.onnx,888,888,0,20396,20396,0,10,10,0,0
task217,outputs\onnx\task217.onnx,outputs\candidates\dtype_ablation_20260609\task217_InitializerDtypeCompression.onnx,5649,4749,-900,7268,6473,-795,12,12,1,900
task218,outputs\onnx\task218.onnx,outputs\candidates\dtype_ablation_20260609\task218_InitializerDtypeCompression.onnx,328,328,0,9594,9594,0,21,21,0,0
task219,outputs\onnx\task219.onnx,outputs\candidates\dtype_ablation_20260609\task219_InitializerDtypeCompression.onnx,16894,11494,-5400,87016,81817,-5199,99,99,2,1800
task220,outputs\onnx\task220.onnx,outputs\candidates\dtype_ablation_20260609\task220_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task221,outputs\onnx\task221.onnx,outputs\candidates\dtype_ablation_20260609\task221_InitializerDtypeCompression.onnx,15246,10246,-5000,13333,8923,-4410,26,26,10,5000
task222,outputs\onnx\task222.onnx,outputs\candidates\dtype_ablation_20260609\task222_InitializerDtypeCompression.onnx,405,405,0,2578,2578,0,11,11,0,0
task223,outputs\onnx\task223.onnx,outputs\candidates\dtype_ablation_20260609\task223_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task224,outputs\onnx\task224.onnx,outputs\candidates\dtype_ablation_20260609\task224_InitializerDtypeCompression.onnx,1006,1006,0,6314,6314,0,17,17,0,0
task225,outputs\onnx\task225.onnx,outputs\candidates\dtype_ablation_20260609\task225_InitializerDtypeCompression.onnx,3168,1440,-1728,5386,3910,-1476,17,17,4,576
task226,outputs\onnx\task226.onnx,outputs\candidates\dtype_ablation_20260609\task226_InitializerDtypeCompression.onnx,867,567,-300,4694,4465,-229,15,15,1,100
task227,outputs\onnx\task227.onnx,outputs\candidates\dtype_ablation_20260609\task227_InitializerDtypeCompression.onnx,339,339,0,1435,1435,0,10,10,0,0
task228,outputs\onnx\task228.onnx,outputs\candidates\dtype_ablation_20260609\task228_InitializerDtypeCompression.onnx,562,562,0,4406,4406,0,15,15,0,0
task229,outputs\onnx\task229.onnx,outputs\candidates\dtype_ablation_20260609\task229_InitializerDtypeCompression.onnx,357,357,0,1735,1735,0,12,12,0,0
task230,outputs\onnx\task230.onnx,outputs\candidates\dtype_ablation_20260609\task230_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task231,outputs\onnx\task231.onnx,outputs\candidates\dtype_ablation_20260609\task231_InitializerDtypeCompression.onnx,866,866,0,3468,3468,0,13,13,0,0
task232,outputs\onnx\task232.onnx,outputs\candidates\dtype_ablation_20260609\task232_InitializerDtypeCompression.onnx,389,389,0,2435,2435,0,14,14,0,0
task233,outputs\onnx\task233.onnx,outputs\candidates\dtype_ablation_20260609\task233_InitializerDtypeCompression.onnx,661410,222606,-438804,924434,487447,-436987,65,65,19,63804
task234,outputs\onnx\task234.onnx,outputs\candidates\dtype_ablation_20260609\task234_InitializerDtypeCompression.onnx,4347,2907,-1440,8285,7025,-1260,8,8,3,1440
task235,outputs\onnx\task235.onnx,outputs\candidates\dtype_ablation_20260609\task235_InitializerDtypeCompression.onnx,750,750,0,3931,3931,0,19,19,0,0
task236,outputs\onnx\task236.onnx,outputs\candidates\dtype_ablation_20260609\task236_InitializerDtypeCompression.onnx,322,322,0,1511,1511,0,8,8,0,0
task237,outputs\onnx\task237.onnx,outputs\candidates\dtype_ablation_20260609\task237_InitializerDtypeCompression.onnx,317,317,0,2237,2237,0,11,11,0,0
task238,outputs\onnx\task238.onnx,outputs\candidates\dtype_ablation_20260609\task238_InitializerDtypeCompression.onnx,4527,4527,0,11927,11927,0,40,40,0,0
task239,outputs\onnx\task239.onnx,outputs\candidates\dtype_ablation_20260609\task239_InitializerDtypeCompression.onnx,1284,1014,-270,4143,3954,-189,19,19,1,270
task240,outputs\onnx\task240.onnx,outputs\candidates\dtype_ablation_20260609\task240_InitializerDtypeCompression.onnx,582,582,0,3953,3953,0,20,20,0,0
task241,outputs\onnx\task241.onnx,outputs\candidates\dtype_ablation_20260609\task241_InitializerDtypeCompression.onnx,0,0,0,170,170,0,0,0,0,0
task242,outputs\onnx\task242.onnx,outputs\candidates\dtype_ablation_20260609\task242_InitializerDtypeCompression.onnx,324,324,0,2031,2031,0,5,5,0,0
task243,outputs\onnx\task243.onnx,outputs\candidates\dtype_ablation_20260609\task243_InitializerDtypeCompression.onnx,154,154,0,23390,23390,0,14,14,0,0
task244,outputs\onnx\task244.onnx,outputs\candidates\dtype_ablation_20260609\task244_InitializerDtypeCompression.onnx,761,761,0,6538,6538,0,31,31,0,0
task245,outputs\onnx\task245.onnx,outputs\candidates\dtype_ablation_20260609\task245_InitializerDtypeCompression.onnx,2537,2537,0,6141,6141,0,16,16,0,0
task246,outputs\onnx\task246.onnx,outputs\candidates\dtype_ablation_20260609\task246_InitializerDtypeCompression.onnx,1079,1079,0,3824,3824,0,11,11,0,0
task247,outputs\onnx\task247.onnx,outputs\candidates\dtype_ablation_20260609\task247_InitializerDtypeCompression.onnx,241,241,0,2056,2056,0,6,6,0,0
task248,outputs\onnx\task248.onnx,outputs\candidates\dtype_ablation_20260609\task248_InitializerDtypeCompression.onnx,270,270,0,2328,2328,0,11,11,0,0
task249,outputs\onnx\task249.onnx,outputs\candidates\dtype_ablation_20260609\task249_InitializerDtypeCompression.onnx,1699,799,-900,2901,2137,-764,14,14,2,300
task250,outputs\onnx\task250.onnx,outputs\candidates\dtype_ablation_20260609\task250_InitializerDtypeCompression.onnx,1354,1354,0,13543,13543,0,19,19,0,0
task251,outputs\onnx\task251.onnx,outputs\candidates\dtype_ablation_20260609\task251_InitializerDtypeCompression.onnx,2871,1971,-900,6906,6090,-816,13,13,1,900
task252,outputs\onnx\task252.onnx,outputs\candidates\dtype_ablation_20260609\task252_InitializerDtypeCompression.onnx,2570,1220,-1350,4879,3691,-1188,19,19,2,450
task253,outputs\onnx\task253.onnx,outputs\candidates\dtype_ablation_20260609\task253_InitializerDtypeCompression.onnx,2407,1447,-960,3510,2670,-840,13,13,2,320
task254,outputs\onnx\task254.onnx,outputs\candidates\dtype_ablation_20260609\task254_InitializerDtypeCompression.onnx,1086,843,-243,6052,5891,-161,27,27,1,81
task255,outputs\onnx\task255.onnx,outputs\candidates\dtype_ablation_20260609\task255_InitializerDtypeCompression.onnx,58680,37290,-21390,106804,85748,-21056,10,10,5,15810
task256,outputs\onnx\task256.onnx,outputs\candidates\dtype_ablation_20260609\task256_InitializerDtypeCompression.onnx,6313,2764,-3549,8793,5400,-3393,17,17,2,1183
task257,outputs\onnx\task257.onnx,outputs\candidates\dtype_ablation_20260609\task257_InitializerDtypeCompression.onnx,409,409,0,1669,1669,0,11,11,0,0
task258,outputs\onnx\task258.onnx,outputs\candidates\dtype_ablation_20260609\task258_InitializerDtypeCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task259,outputs\onnx\task259.onnx,outputs\candidates\dtype_ablation_20260609\task259_InitializerDtypeCompression.onnx,382,382,0,3882,3882,0,15,15,0,0
task260,outputs\onnx\task260.onnx,outputs\candidates\dtype_ablation_20260609\task260_InitializerDtypeCompression.onnx,778,778,0,3320,3320,0,15,15,0,0
task261,outputs\onnx\task261.onnx,outputs\candidates\dtype_ablation_20260609\task261_InitializerDtypeCompression.onnx,1000,1000,0,995,995,0,1,1,0,0
task262,outputs\onnx\task262.onnx,outputs\candidates\dtype_ablation_20260609\task262_InitializerDtypeCompression.onnx,253,253,0,1329,1329,0,11,11,0,0
task263,outputs\onnx\task263.onnx,outputs\candidates\dtype_ablation_20260609\task263_InitializerDtypeCompression.onnx,456,456,0,10867,10867,0,27,27,0,0
task264,outputs\onnx\task264.onnx,outputs\candidates\dtype_ablation_20260609\task264_InitializerDtypeCompression.onnx,3234,2505,-729,10074,9897,-177,38,38,9,729
task265,outputs\onnx\task265.onnx,outputs\candidates\dtype_ablation_20260609\task265_InitializerDtypeCompression.onnx,513,513,0,3110,3110,0,13,13,0,0
task266,outputs\onnx\task266.onnx,outputs\candidates\dtype_ablation_20260609\task266_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task267,outputs\onnx\task267.onnx,outputs\candidates\dtype_ablation_20260609\task267_InitializerDtypeCompression.onnx,591,591,0,1624,1624,0,13,13,0,0
task268,outputs\onnx\task268.onnx,outputs\candidates\dtype_ablation_20260609\task268_InitializerDtypeCompression.onnx,791,791,0,19789,19789,0,30,30,0,0
task269,outputs\onnx\task269.onnx,outputs\candidates\dtype_ablation_20260609\task269_InitializerDtypeCompression.onnx,568,568,0,3349,3349,0,18,18,0,0
task270,outputs\onnx\task270.onnx,outputs\candidates\dtype_ablation_20260609\task270_InitializerDtypeCompression.onnx,2660,1310,-1350,10862,9662,-1200,21,21,2,450
task271,outputs\onnx\task271.onnx,outputs\candidates\dtype_ablation_20260609\task271_InitializerDtypeCompression.onnx,439,439,0,1993,1993,0,10,10,0,0
task272,outputs\onnx\task272.onnx,outputs\candidates\dtype_ablation_20260609\task272_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task273,outputs\onnx\task273.onnx,outputs\candidates\dtype_ablation_20260609\task273_InitializerDtypeCompression.onnx,270,270,0,2414,2414,0,13,13,0,0
task274,outputs\onnx\task274.onnx,outputs\candidates\dtype_ablation_20260609\task274_InitializerDtypeCompression.onnx,2057,977,-1080,3619,2626,-993,11,11,1,360
task275,outputs\onnx\task275.onnx,outputs\candidates\dtype_ablation_20260609\task275_InitializerDtypeCompression.onnx,8736,6036,-2700,24193,21673,-2520,27,27,3,2700
task276,outputs\onnx\task276.onnx,outputs\candidates\dtype_ablation_20260609\task276_InitializerDtypeCompression.onnx,90,90,0,217,217,0,1,1,0,0
task277,outputs\onnx\task277.onnx,outputs\candidates\dtype_ablation_20260609\task277_InitializerDtypeCompression.onnx,29850,25179,-4671,57052,53358,-3694,39,39,8,1557
task278,outputs\onnx\task278.onnx,outputs\candidates\dtype_ablation_20260609\task278_InitializerDtypeCompression.onnx,1923,951,-972,3294,2397,-897,13,13,1,324
task279,outputs\onnx\task279.onnx,outputs\candidates\dtype_ablation_20260609\task279_InitializerDtypeCompression.onnx,1510,742,-768,4658,3950,-708,8,8,1,256
task280,outputs\onnx\task280.onnx,outputs\candidates\dtype_ablation_20260609\task280_InitializerDtypeCompression.onnx,396,396,0,16655,16655,0,11,11,0,0
task281,outputs\onnx\task281.onnx,outputs\candidates\dtype_ablation_20260609\task281_InitializerDtypeCompression.onnx,2499,2499,0,7659,7659,0,15,15,0,0
task282,outputs\onnx\task282.onnx,outputs\candidates\dtype_ablation_20260609\task282_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task283,outputs\onnx\task283.onnx,outputs\candidates\dtype_ablation_20260609\task283_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task284,outputs\onnx\task284.onnx,outputs\candidates\dtype_ablation_20260609\task284_InitializerDtypeCompression.onnx,19017,6417,-12600,30975,18531,-12444,19,19,2,1800
task285,outputs\onnx\task285.onnx,outputs\candidates\dtype_ablation_20260609\task285_InitializerDtypeCompression.onnx,10215,7515,-2700,32591,29975,-2616,37,37,1,900
task286,outputs\onnx\task286.onnx,outputs\candidates\dtype_ablation_20260609\task286_InitializerDtypeCompression.onnx,4145,2895,-1250,13714,12623,-1091,20,20,2,1250
task287,outputs\onnx\task287.onnx,outputs\candidates\dtype_ablation_20260609\task287_InitializerDtypeCompression.onnx,247,247,0,1686,1686,0,13,13,0,0
task288,outputs\onnx\task288.onnx,outputs\candidates\dtype_ablation_20260609\task288_InitializerDtypeCompression.onnx,353,353,0,7847,7847,0,15,15,0,0
task289,outputs\onnx\task289.onnx,outputs\candidates\dtype_ablation_20260609\task289_InitializerDtypeCompression.onnx,520,520,0,2883,2883,0,17,17,0,0
task290,outputs\onnx\task290.onnx,outputs\candidates\dtype_ablation_20260609\task290_InitializerDtypeCompression.onnx,35612,9838,-25774,38476,13622,-24854,42,42,11,3682
task291,outputs\onnx\task291.onnx,outputs\candidates\dtype_ablation_20260609\task291_InitializerDtypeCompression.onnx,4731,2031,-2700,6009,3381,-2628,9,9,1,900
task292,outputs\onnx\task292.onnx,outputs\candidates\dtype_ablation_20260609\task292_InitializerDtypeCompression.onnx,621,621,0,1411,1411,0,9,9,0,0
task293,outputs\onnx\task293.onnx,outputs\candidates\dtype_ablation_20260609\task293_InitializerDtypeCompression.onnx,4377,1227,-3150,9897,6903,-2994,20,20,2,450
task294,outputs\onnx\task294.onnx,outputs\candidates\dtype_ablation_20260609\task294_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task295,outputs\onnx\task295.onnx,outputs\candidates\dtype_ablation_20260609\task295_InitializerDtypeCompression.onnx,389,389,0,2771,2771,0,11,11,0,0
task296,outputs\onnx\task296.onnx,outputs\candidates\dtype_ablation_20260609\task296_InitializerDtypeCompression.onnx,1877,932,-945,2843,1982,-861,11,11,1,315
task297,outputs\onnx\task297.onnx,outputs\candidates\dtype_ablation_20260609\task297_InitializerDtypeCompression.onnx,364,364,0,2651,2651,0,17,17,0,0
task298,outputs\onnx\task298.onnx,outputs\candidates\dtype_ablation_20260609\task298_InitializerDtypeCompression.onnx,2786,1304,-1482,5059,4005,-1054,19,19,7,494
task299,outputs\onnx\task299.onnx,outputs\candidates\dtype_ablation_20260609\task299_InitializerDtypeCompression.onnx,414,414,0,1980,1980,0,8,8,0,0
task300,outputs\onnx\task300.onnx,outputs\candidates\dtype_ablation_20260609\task300_InitializerDtypeCompression.onnx,1113,1113,0,4688,4688,0,14,14,0,0
task301,outputs\onnx\task301.onnx,outputs\candidates\dtype_ablation_20260609\task301_InitializerDtypeCompression.onnx,16567,3967,-12600,19240,6795,-12445,10,10,2,1800
task302,outputs\onnx\task302.onnx,outputs\candidates\dtype_ablation_20260609\task302_InitializerDtypeCompression.onnx,257,257,0,3609,3609,0,10,10,0,0
task303,outputs\onnx\task303.onnx,outputs\candidates\dtype_ablation_20260609\task303_InitializerDtypeCompression.onnx,1550,1550,0,2084,2084,0,4,4,0,0
task304,outputs\onnx\task304.onnx,outputs\candidates\dtype_ablation_20260609\task304_InitializerDtypeCompression.onnx,538,295,-243,2136,1963,-173,9,9,1,81
task305,outputs\onnx\task305.onnx,outputs\candidates\dtype_ablation_20260609\task305_InitializerDtypeCompression.onnx,1452,1452,0,1865,1865,0,4,4,0,0
task306,outputs\onnx\task306.onnx,outputs\candidates\dtype_ablation_20260609\task306_InitializerDtypeCompression.onnx,610,610,0,4101,4101,0,32,32,0,0
task307,outputs\onnx\task307.onnx,outputs\candidates\dtype_ablation_20260609\task307_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task308,outputs\onnx\task308.onnx,outputs\candidates\dtype_ablation_20260609\task308_InitializerDtypeCompression.onnx,978,978,0,6118,6118,0,17,17,0,0
task309,outputs\onnx\task309.onnx,outputs\candidates\dtype_ablation_20260609\task309_InitializerDtypeCompression.onnx,90,90,0,217,217,0,1,1,0,0
task310,outputs\onnx\task310.onnx,outputs\candidates\dtype_ablation_20260609\task310_InitializerDtypeCompression.onnx,2553,1977,-576,5449,5083,-366,18,18,3,192
task311,outputs\onnx\task311.onnx,outputs\candidates\dtype_ablation_20260609\task311_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task312,outputs\onnx\task312.onnx,outputs\candidates\dtype_ablation_20260609\task312_InitializerDtypeCompression.onnx,171,171,0,1202,1202,0,9,9,0,0
task313,outputs\onnx\task313.onnx,outputs\candidates\dtype_ablation_20260609\task313_InitializerDtypeCompression.onnx,40857,9357,-31500,39887,8827,-31060,12,12,5,4500
task314,outputs\onnx\task314.onnx,outputs\candidates\dtype_ablation_20260609\task314_InitializerDtypeCompression.onnx,1558,1558,0,28414,28414,0,83,83,0,0
task315,outputs\onnx\task315.onnx,outputs\candidates\dtype_ablation_20260609\task315_InitializerDtypeCompression.onnx,551,308,-243,1520,1347,-173,10,10,1,81
task316,outputs\onnx\task316.onnx,outputs\candidates\dtype_ablation_20260609\task316_InitializerDtypeCompression.onnx,276,276,0,5537,5537,0,15,15,0,0
task317,outputs\onnx\task317.onnx,outputs\candidates\dtype_ablation_20260609\task317_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task318,outputs\onnx\task318.onnx,outputs\candidates\dtype_ablation_20260609\task318_InitializerDtypeCompression.onnx,322,322,0,1569,1569,0,8,8,0,0
task319,outputs\onnx\task319.onnx,outputs\candidates\dtype_ablation_20260609\task319_InitializerDtypeCompression.onnx,26814,26514,-300,169127,168894,-233,714,714,1,100
task320,outputs\onnx\task320.onnx,outputs\candidates\dtype_ablation_20260609\task320_InitializerDtypeCompression.onnx,565,565,0,2183,2183,0,11,11,0,0
task321,outputs\onnx\task321.onnx,outputs\candidates\dtype_ablation_20260609\task321_InitializerDtypeCompression.onnx,731,431,-300,2449,2216,-233,11,11,1,100
task322,outputs\onnx\task322.onnx,outputs\candidates\dtype_ablation_20260609\task322_InitializerDtypeCompression.onnx,185,185,0,1194,1194,0,6,6,0,0
task323,outputs\onnx\task323.onnx,outputs\candidates\dtype_ablation_20260609\task323_InitializerDtypeCompression.onnx,1199,692,-507,8184,7737,-447,17,17,1,169
task324,outputs\onnx\task324.onnx,outputs\candidates\dtype_ablation_20260609\task324_InitializerDtypeCompression.onnx,18223,7780,-10443,26906,16541,-10365,36,36,1,3481
task325,outputs\onnx\task325.onnx,outputs\candidates\dtype_ablation_20260609\task325_InitializerDtypeCompression.onnx,3996,3996,0,5072,5072,0,22,22,0,0
task326,outputs\onnx\task326.onnx,outputs\candidates\dtype_ablation_20260609\task326_InitializerDtypeCompression.onnx,54,54,0,388,388,0,3,3,0,0
task327,outputs\onnx\task327.onnx,outputs\candidates\dtype_ablation_20260609\task327_InitializerDtypeCompression.onnx,200,200,0,2235,2235,0,9,9,0,0
task328,outputs\onnx\task328.onnx,outputs\candidates\dtype_ablation_20260609\task328_InitializerDtypeCompression.onnx,9300,8328,-972,16269,15486,-783,27,27,3,972
task329,outputs\onnx\task329.onnx,outputs\candidates\dtype_ablation_20260609\task329_InitializerDtypeCompression.onnx,326,326,0,2361,2361,0,10,10,0,0
