task_id,lane,model_path,valid,failure_reason,params,tensor_memory_bytes,official_static_cost,official_static_score,initializer_params,constant_params,node_count,op_count,file_size_bytes
task025,overrides,outputs\current_6349_78_stack\overrides\task025.onnx,True,,61,77960,78021,13.73526669979514,61,0,61,61,4914
task026,base_submission,outputs\current_6349_78_stack\base_submission\task026.onnx,True,,48,1140,1188,17.91997350007741,48,0,11,11,1622
task026,overrides,outputs\current_6349_78_stack\overrides\task026.onnx,True,,34,690,724,18.415208607614282,34,0,13,13,1309
task027,base_submission,outputs\current_6349_78_stack\base_submission\task027.onnx,True,,7218,48977,56195,14.063416936047632,7218,0,22,22,31135
task027,overrides,outputs\current_6349_78_stack\overrides\task027.onnx,True,,37,5777,5814,16.331975918881177,37,0,16,16,2073
task028,base_submission,outputs\current_6349_78_stack\base_submission\task028.onnx,True,,12610,180160,192770,12.830746952608363,12610,0,10,10,51218
task028,overrides,outputs\current_6349_78_stack\overrides\task028.onnx,True,,329,4510,4839,16.51553663320668,329,0,11,11,2079
task029,base_submission,outputs\current_6349_78_stack\base_submission\task029.onnx,True,,170,98207,98377,13.503437684118467,170,0,88,88,13589
task029,overrides,outputs\current_6349_78_stack\overrides\task029.onnx,True,,170,96947,97117,13.516328283804857,170,0,88,88,13589
task030,base_submission,outputs\current_6349_78_stack\base_submission\task030.onnx,True,,975,49572,50547,14.169341124493505,975,0,56,56,9441
task030,overrides,outputs\current_6349_78_stack\overrides\task030.onnx,True,,256,5878,6134,16.278397655325804,256,0,37,37,3134
task031,base_submission,outputs\current_6349_78_stack\base_submission\task031.onnx,True,,58,18630,18688,15.164363114372046,58,0,26,26,3417
task031,overrides,outputs\current_6349_78_stack\overrides\task031.onnx,True,,58,18558,18616,15.168223295017873,58,0,26,26,3417
task032,base_submission,outputs\current_6349_78_stack\base_submission\task032.onnx,True,,69,3336,3405,16.86699978141639,69,0,19,19,2347
task032,overrides,outputs\current_6349_78_stack\overrides\task032.onnx,True,,69,3336,3405,16.86699978141639,69,0,19,19,2347
task033,base_submission,outputs\current_6349_78_stack\base_submission\task033.onnx,True,,49,55112,55161,14.081988539178049,49,0,16,16,1510
task033,overrides,outputs\current_6349_78_stack\overrides\task033.onnx,True,,49,55112,55161,14.081988539178049,49,0,16,16,1510
task034,base_submission,outputs\current_6349_78_stack\base_submission\task034.onnx,True,,2847,103949,106796,13.421324248376678,2847,0,87,87,11293
task034,overrides,outputs\current_6349_78_stack\overrides\task034.onnx,True,,95,58608,58703,14.019753888164363,95,0,116,116,4303
task035,base_submission,outputs\current_6349_78_stack\base_submission\task035.onnx,True,,225,39476,39701,14.410868344725078,225,0,104,104,12869
task035,overrides,outputs\current_6349_78_stack\overrides\task035.onnx,True,,51,15312,15363,15.36028269986934,51,0,38,38,3707
task036,base_submission,outputs\current_6349_78_stack\base_submission\task036.onnx,True,,159,79832,79991,13.71033059267258,159,0,56,56,5866
task036,overrides,outputs\current_6349_78_stack\overrides\task036.onnx,True,,111,79832,79943,13.71093084029274,111,0,56,56,3950
task037,base_submission,outputs\current_6349_78_stack\base_submission\task037.onnx,True,,8326,55400,63726,13.937652078450405,8326,0,27,27,20424
task037,overrides,outputs\current_6349_78_stack\overrides\task037.onnx,True,,8326,45000,53326,14.115820703906138,8326,0,28,28,19527
task038,base_submission,outputs\current_6349_78_stack\base_submission\task038.onnx,True,,77,2116,2193,17.306974251582112,77,0,16,16,2357
task038,overrides,outputs\current_6349_78_stack\overrides\task038.onnx,True,,38,2136,2174,17.315675932318847,38,0,17,17,2559
task039,base_submission,outputs\current_6349_78_stack\base_submission\task039.onnx,True,,28,7804,7832,16.03402681578965,28,0,14,14,1913
task039,overrides,outputs\current_6349_78_stack\overrides\task039.onnx,True,,28,7744,7772,16.04171718950267,28,0,14,14,1913
task040,base_submission,outputs\current_6349_78_stack\base_submission\task040.onnx,True,,62,11006,11068,15.688186659093184,62,0,36,36,4104
task040,overrides,outputs\current_6349_78_stack\overrides\task040.onnx,True,,62,7806,7868,16.02944082049105,62,0,36,36,4167
task041,base_submission,outputs\current_6349_78_stack\base_submission\task041.onnx,True,,27,16300,16327,15.299424541873835,27,0,18,18,2228
task041,overrides,outputs\current_6349_78_stack\overrides\task041.onnx,True,,29,11740,11769,15.626775765122337,29,0,20,20,2110
task042,base_submission,outputs\current_6349_78_stack\base_submission\task042.onnx,True,,160,32909,33069,14.593648433368575,160,0,54,54,8398
task042,overrides,outputs\current_6349_78_stack\overrides\task042.onnx,True,,728,7502,8230,15.984458706328885,728,0,51,51,6490
task043,base_submission,outputs\current_6349_78_stack\base_submission\task043.onnx,True,,139,6980,7119,16.129477454896126,139,0,9,9,1966
task043,overrides,outputs\current_6349_78_stack\overrides\task043.onnx,True,,138,6780,6918,16.158118010502886,138,0,10,10,2224
task044,base_submission,outputs\current_6349_78_stack\base_submission\task044.onnx,True,,1415,2378888,2380303,10.317261651531322,1415,0,1054,1054,148684
task044,overrides,outputs\current_6349_78_stack\overrides\task044.onnx,True,,187,38424,38611,14.438707511051218,187,0,475,475,22235
task045,base_submission,outputs\current_6349_78_stack\base_submission\task045.onnx,True,,32,7750,7782,16.0404313464555,32,0,11,11,1438
task045,overrides,outputs\current_6349_78_stack\overrides\task045.onnx,True,,25,7400,7425,16.0873920363291,25,0,14,14,1425
task046,base_submission,outputs\current_6349_78_stack\base_submission\task046.onnx,True,,866,55580,56446,14.058960292100226,866,0,70,70,8963
task046,overrides,outputs\current_6349_78_stack\overrides\task046.onnx,True,,866,30640,31506,14.642066717134085,866,0,72,72,7494
task047,base_submission,outputs\current_6349_78_stack\base_submission\task047.onnx,True,,127,7423,7550,16.070697157756932,127,0,31,31,3246
task047,overrides,outputs\current_6349_78_stack\overrides\task047.onnx,True,,36,2988,3024,16.985664262700574,36,0,30,30,3091
task048,base_submission,outputs\current_6349_78_stack\base_submission\task048.onnx,True,,66,8765,8831,15.913976462531197,66,0,49,49,5695
task048,overrides,outputs\current_6349_78_stack\overrides\task048.onnx,True,,66,5283,5349,16.415335093468748,66,0,52,52,4064
task049,base_submission,outputs\current_6349_78_stack\base_submission\task049.onnx,True,,150,32263,32413,14.613685144124743,150,0,29,29,3516
task049,overrides,outputs\current_6349_78_stack\overrides\task049.onnx,True,,150,8554,8704,15.928462030904276,150,0,30,30,3265
task050,base_submission,outputs\current_6349_78_stack\base_submission\task050.onnx,True,,250,10125,10375,15.752845654901101,250,0,19,19,2540
task050,overrides,outputs\current_6349_78_stack\overrides\task050.onnx,True,,250,8775,9025,15.892246216798918,250,0,20,20,1939
task051,base_submission,outputs\current_6349_78_stack\base_submission\task051.onnx,True,,78,90393,90471,13.587215363653437,78,0,57,57,3330
task051,overrides,outputs\current_6349_78_stack\overrides\task051.onnx,True,,89,21966,22055,14.99870538746096,89,0,53,53,3039
task052,base_submission,outputs\current_6349_78_stack\base_submission\task052.onnx,True,,43,1647,1690,17.56751619208288,43,0,10,10,1277
task052,overrides,outputs\current_6349_78_stack\overrides\task052.onnx,True,,43,1185,1228,17.886857891292912,43,0,11,11,986
task053,base_submission,outputs\current_6349_78_stack\base_submission\task053.onnx,True,,30,0,30,21.598802618337846,30,0,1,1,175
task053,overrides,outputs\current_6349_78_stack\overrides\task053.onnx,True,,30,0,30,21.598802618337846,30,0,1,1,175
task054,base_submission,outputs\current_6349_78_stack\base_submission\task054.onnx,True,,161,181895,182056,12.887930388960946,161,0,118,118,9728
task054,overrides,outputs\current_6349_78_stack\overrides\task054.onnx,True,,2459,87646,90105,13.591269064047628,2459,0,1018,1018,48606
task055,base_submission,outputs\current_6349_78_stack\base_submission\task055.onnx,True,,994,36292,37286,14.473626799944594,994,0,164,164,21458
task055,overrides,outputs\current_6349_78_stack\overrides\task055.onnx,True,,965,25260,26225,14.825531566735503,965,0,48,48,3952
task056,base_submission,outputs\current_6349_78_stack\base_submission\task056.onnx,True,,100,460,560,18.672063216270807,100,0,7,7,1515
task056,overrides,outputs\current_6349_78_stack\overrides\task056.onnx,True,,77,136,213,19.638707834290575,77,0,9,9,815
task057,base_submission,outputs\current_6349_78_stack\base_submission\task057.onnx,True,,11,46804,46815,14.24604105662701,11,0,18,18,1880
task057,overrides,outputs\current_6349_78_stack\overrides\task057.onnx,True,,20,29284,29304,14.71452069554135,20,0,16,16,1616
task058,base_submission,outputs\current_6349_78_stack\base_submission\task058.onnx,True,,6445,9704,16149,15.310386592770932,6445,0,15,15,27439
task058,overrides,outputs\current_6349_78_stack\overrides\task058.onnx,True,,6426,9652,16078,15.314792843112095,6426,0,16,16,14194
task059,base_submission,outputs\current_6349_78_stack\base_submission\task059.onnx,True,,2553,26008,28561,14.740202570153853,2553,0,20,20,12715
task059,overrides,outputs\current_6349_78_stack\overrides\task059.onnx,True,,2547,17840,20387,15.077347278202861,2547,0,20,20,6897
task060,base_submission,outputs\current_6349_78_stack\base_submission\task060.onnx,True,,181,9920,10101,15.779610292170815,181,0,16,16,3039
task060,overrides,outputs\current_6349_78_stack\overrides\task060.onnx,True,,181,5400,5581,16.372876749211567,181,0,20,20,2458
task061,base_submission,outputs\current_6349_78_stack\base_submission\task061.onnx,True,,1972,16942,18914,15.152342332424542,1972,0,9,9,17030
task061,overrides,outputs\current_6349_78_stack\overrides\task061.onnx,True,,1972,16942,18914,15.152342332424542,1972,0,9,9,17030
task062,base_submission,outputs\current_6349_78_stack\base_submission\task062.onnx,True,,929,46560,47489,14.23174661574318,929,0,194,194,22124
task062,overrides,outputs\current_6349_78_stack\overrides\task062.onnx,True,,952,25144,26096,14.830462675139206,952,0,42,42,4028
task063,base_submission,outputs\current_6349_78_stack\base_submission\task063.onnx,True,,32,30700,30732,14.666940264012474,32,0,34,34,3709
task063,overrides,outputs\current_6349_78_stack\overrides\task063.onnx,True,,32,30700,30732,14.666940264012474,32,0,34,34,3709
task064,base_submission,outputs\current_6349_78_stack\base_submission\task064.onnx,True,,238,131578,131816,13.210837710262732,238,0,48,48,5809
task064,overrides,outputs\current_6349_78_stack\overrides\task064.onnx,True,,86,89677,89763,13.595071857342102,86,0,64,64,3883
task065,base_submission,outputs\current_6349_78_stack\base_submission\task065.onnx,True,,77,51338,51415,14.15231476233671,77,0,36,36,2705
task065,overrides,outputs\current_6349_78_stack\overrides\task065.onnx,True,,63,34700,34763,14.543691118245864,63,0,37,37,1936
task066,base_submission,outputs\current_6349_78_stack\base_submission\task066.onnx,True,,116,499419,499535,11.878567055313978,116,0,1642,1642,180173
task066,overrides,outputs\current_6349_78_stack\overrides\task066.onnx,True,,138,97964,98102,13.506236967294528,138,0,291,291,16114
task067,base_submission,outputs\current_6349_78_stack\base_submission\task067.onnx,True,,33,282,315,19.247427361174367,33,0,7,7,892
task067,overrides,outputs\current_6349_78_stack\overrides\task067.onnx,True,,33,282,315,19.247427361174367,33,0,7,7,892
task068,base_submission,outputs\current_6349_78_stack\base_submission\task068.onnx,True,,27,17924,17951,15.20459889732893,27,0,23,23,2335
task068,overrides,outputs\current_6349_78_stack\overrides\task068.onnx,True,,27,12562,12589,15.55942130423374,27,0,24,24,1602
task069,base_submission,outputs\current_6349_78_stack\base_submission\task069.onnx,True,,2312,82858,85170,13.647595461864874,2312,0,380,380,32330
task069,overrides,outputs\current_6349_78_stack\overrides\task069.onnx,True,,1388,68858,70246,13.840241353926903,1388,0,379,379,30370
task070,base_submission,outputs\current_6349_78_stack\base_submission\task070.onnx,True,,78,66060,66138,13.90050125280863,78,0,71,71,11844
task070,overrides,outputs\current_6349_78_stack\overrides\task070.onnx,True,,78,66060,66138,13.90050125280863,78,0,71,71,11844
task071,base_submission,outputs\current_6349_78_stack\base_submission\task071.onnx,True,,930,128850,129780,13.22640401182484,930,0,49,49,12082
task071,overrides,outputs\current_6349_78_stack\overrides\task071.onnx,True,,1144,70900,72044,13.814967677543052,1144,0,138,138,7954
task072,base_submission,outputs\current_6349_78_stack\base_submission\task072.onnx,True,,78,2040,2118,17.34177247383865,78,0,9,9,1625
task072,overrides,outputs\current_6349_78_stack\overrides\task072.onnx,True,,49,1260,1309,17.8229812340901,49,0,11,11,1289
task073,base_submission,outputs\current_6349_78_stack\base_submission\task073.onnx,True,,910,0,910,18.186555400489105,910,0,1,1,3825
task073,overrides,outputs\current_6349_78_stack\overrides\task073.onnx,True,,300,0,300,19.2962175253438,300,0,1,1,1397
task074,base_submission,outputs\current_6349_78_stack\base_submission\task074.onnx,True,,45,21780,21825,15.009188619292196,45,0,18,18,1824
task074,overrides,outputs\current_6349_78_stack\overrides\task074.onnx,True,,45,21780,21825,15.009188619292196,45,0,18,18,1824
