task_id,candidate_zip_path,upload_submission_path,replacement_model_path,replacement_estimated_cost,best_6348_estimated_cost,cost_delta_6275_minus_best_6348,base_lane_replaced,overrides_lane_replaced,replacement_sha256,base_lane_old_sha256,overrides_lane_old_sha256,candidate_valid,failure_reason
task076,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task076_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task076_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task076.onnx,1461,12122,-10661,True,True,419bbf22d94034edf9dc1d2eed86480945abad297d08dbdaaaaf87ef5d7e2ef5,b4407303acf9c1e5f20cfa3fd883aeb90b14ae0fb233d68ecbaf4620c0bc88fb,8eb9d40ec8716ac5aae8e73e16e980f259acdfe9eb41565679b0d411e71dd27e,True,
task077,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task077_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task077_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task077.onnx,921,3569,-2648,True,True,375284c4a438c2fdc7a928ea689047963e768c2a24bc4014a33f1c2405f8352e,e9ba6003d604dc8eabe4c1293832b222739a2738c2838b1512ae380d87d398bb,5f9417526c477277340ca2f477b0e78a8a8e61cbb669ff0310160ba58264a4c0,True,
task094,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task094_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task094_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task094.onnx,552,552,0,True,True,f3eb2edb6bee64618f0cafde76e4779933f68b0eb7766ac7ee48d1903aa76c38,1183a85e05f31b324f96f1ea2bc76659614d9e3e496af6fc026bf70716b2cee9,625a1dd96cef2df19baa077c10a90a35a3b8a87019f460ec9cc769880b369833,True,
task097,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task097_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task097_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task097.onnx,27,626,-599,True,True,d3ac24b8f1ef82f43e7f57498baccf1d83880a6fe0266ba9484ac6eba27b8599,f0d0ab9a04954377879cace70b48610fc891b8e6d5d68ee0d372dd78fe3f2268,78b853bb39c75c2cc5296ad693660f0196294a32bcd502248f632f9b311b459e,True,
task101,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task101_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task101_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task101.onnx,594,14360,-13766,True,True,edd7e165314a501462e02577d29022d3eb27078c4eb090009d5f19a5f0c2fbf1,5add58b8bc1d0b54e19ac2a7ba0dbc9eea3fd8d8e3f32405ad36b69f8c376d87,a52f97a2089c8d1d313cbe01c8172090bdf81fe42b2719106bdbf91558f91cd3,True,
task137,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task137_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task137_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task137.onnx,248,2008,-1760,True,True,e2949632a6dcbf2d85e99913160d5788114fe740f599caf7373ab759540d202d,ef031cef24d9c3cbefd960f1b4194426dfaca31af36b0b1f7efef5d288784706,a99f6dff45e93a8bb0229f987ff1aaa58a58290f85d66b4497898e2b8b56aeca,True,
task157,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task157_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task157_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task157.onnx,1887,3197,-1310,True,True,a4fb71244d2151ad5b9f27f7f1cd97316e4e5d9e3ddbeae6d17910f8f316fbfa,8de07e25cad3bdc5d73b8f953328c5e49784eb81e63eef116156e8d761d82fb5,de5bc7ee80c1e75480b1d1450b170c926aa76282d4bdb6a396bb6bf62fba743f,True,
task166,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task166_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task166_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task166.onnx,267,267,0,True,True,635ac35cdaf739d7549ee8cd70b4042ae832ff18d2798a37fb1e315bb0990a02,bb71f3b3d956f668ce203feb385d0a702c31c6bd17cc17e213e3889db57d510e,872b2897f0efd037d1b74b84bab7cb8c7580ffad6e516e22aee33cdf6de9fcb3,True,
task169,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task169_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task169_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task169.onnx,2133,2436,-303,True,True,8f1a1bcaa371d02dc91ac01a00326e44103b6342d849f00a509316c99f1643a0,5deeade9207e54562ae10adac28158f0049087357abb124dee01d6d54f76463d,93e8dcdfe9c0f0cb46e0bd7cf6edc9e7491ea0be5cd1ac1e7552e7ccb9c43a50,True,
task170,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task170_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task170_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task170.onnx,1425,1440,-15,True,True,40c7d62d579c2d8926059eb3c557934286ca2ed2507772f25b157bc0a91d75ba,9f919ea1d3fae6c43dfb70c30fe5ce04e453a44324f39755cb00850f150578bb,33ca1cba9ec336db7462d1585adb3d13110e5d491253e5fa52c9293d0e4734a8,True,
