task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task035,outputs\reference_6275_flat\task035.onnx,outputs\candidates\ref6275_zero_add_removed\task035_ZeroAddRemoved.onnx,455,455,0,3707,3707,0,0,0,no zero-add patterns found
task036,outputs\reference_6275_flat\task036.onnx,outputs\candidates\ref6275_zero_add_removed\task036_ZeroAddRemoved.onnx,867,867,0,3950,3950,0,0,0,no zero-add patterns found
task037,outputs\reference_6275_flat\task037.onnx,outputs\candidates\ref6275_zero_add_removed\task037_ZeroAddRemoved.onnx,25086,25086,0,20424,20424,0,0,0,no zero-add patterns found
task038,outputs\reference_6275_flat\task038.onnx,outputs\candidates\ref6275_zero_add_removed\task038_ZeroAddRemoved.onnx,298,298,0,2559,2559,0,0,0,no zero-add patterns found
task039,outputs\reference_6275_flat\task039.onnx,outputs\candidates\ref6275_zero_add_removed\task039_ZeroAddRemoved.onnx,248,248,0,1913,1913,0,0,0,no zero-add patterns found
task040,outputs\reference_6275_flat\task040.onnx,outputs\candidates\ref6275_zero_add_removed\task040_ZeroAddRemoved.onnx,370,370,0,4167,4167,0,0,0,no zero-add patterns found
task041,outputs\reference_6275_flat\task041.onnx,outputs\candidates\ref6275_zero_add_removed\task041_ZeroAddRemoved.onnx,187,187,0,2110,2110,0,0,0,no zero-add patterns found
task042,outputs\reference_6275_flat\task042.onnx,outputs\candidates\ref6275_zero_add_removed\task042_ZeroAddRemoved.onnx,2445,2445,0,8525,8525,0,0,0,no zero-add patterns found
task043,outputs\reference_6275_flat\task043.onnx,outputs\candidates\ref6275_zero_add_removed\task043_ZeroAddRemoved.onnx,772,772,0,2224,2224,0,0,0,no zero-add patterns found
task044,outputs\reference_6275_flat\task044.onnx,outputs\candidates\ref6275_zero_add_removed\task044_ZeroAddRemoved.onnx,567,567,0,22589,22589,0,0,0,no zero-add patterns found
task045,outputs\reference_6275_flat\task045.onnx,outputs\candidates\ref6275_zero_add_removed\task045_ZeroAddRemoved.onnx,225,225,0,1425,1425,0,0,0,no zero-add patterns found
task046,outputs\reference_6275_flat\task046.onnx,outputs\candidates\ref6275_zero_add_removed\task046_ZeroAddRemoved.onnx,2772,2772,0,5299,5299,0,0,0,no zero-add patterns found
task047,outputs\reference_6275_flat\task047.onnx,outputs\candidates\ref6275_zero_add_removed\task047_ZeroAddRemoved.onnx,324,324,0,3091,3091,0,0,0,no zero-add patterns found
task048,outputs\reference_6275_flat\task048.onnx,outputs\candidates\ref6275_zero_add_removed\task048_ZeroAddRemoved.onnx,396,396,0,4058,4058,0,0,0,no zero-add patterns found
task049,outputs\reference_6275_flat\task049.onnx,outputs\candidates\ref6275_zero_add_removed\task049_ZeroAddRemoved.onnx,942,942,0,3516,3516,0,0,0,no zero-add patterns found
task050,outputs\reference_6275_flat\task050.onnx,outputs\candidates\ref6275_zero_add_removed\task050_ZeroAddRemoved.onnx,675,675,0,2006,2006,0,0,0,no zero-add patterns found
task051,outputs\reference_6275_flat\task051.onnx,outputs\candidates\ref6275_zero_add_removed\task051_ZeroAddRemoved.onnx,612,612,0,3352,3352,0,0,0,no zero-add patterns found
task052,outputs\reference_6275_flat\task052.onnx,outputs\candidates\ref6275_zero_add_removed\task052_ZeroAddRemoved.onnx,231,231,0,986,986,0,0,0,no zero-add patterns found
task053,outputs\reference_6275_flat\task053.onnx,outputs\candidates\ref6275_zero_add_removed\task053_ZeroAddRemoved.onnx,270,270,0,175,175,0,0,0,no zero-add patterns found
task054,outputs\reference_6275_flat\task054.onnx,outputs\candidates\ref6275_zero_add_removed\task054_ZeroAddRemoved.onnx,1061,1061,0,5551,5551,0,0,0,no zero-add patterns found
task055,outputs\reference_6275_flat\task055.onnx,outputs\candidates\ref6275_zero_add_removed\task055_ZeroAddRemoved.onnx,3162,3162,0,13886,13886,0,0,0,no zero-add patterns found
task056,outputs\reference_6275_flat\task056.onnx,outputs\candidates\ref6275_zero_add_removed\task056_ZeroAddRemoved.onnx,231,231,0,815,815,0,0,0,no zero-add patterns found
task057,outputs\reference_6275_flat\task057.onnx,outputs\candidates\ref6275_zero_add_removed\task057_ZeroAddRemoved.onnx,173,173,0,1616,1616,0,0,0,no zero-add patterns found
