task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task033,outputs\current_6352_53_stack\overrides\task033.onnx,outputs\candidates\current_6352_53_zero_add_removed\task033_ZeroAddRemoved.onnx,369,369,0,1510,1510,0,0,0,no zero-add patterns found
task034,outputs\current_6352_53_stack\overrides\task034.onnx,outputs\candidates\current_6352_53_zero_add_removed\task034_ZeroAddRemoved.onnx,353,353,0,4303,4197,-106,4,0,
task035,outputs\current_6352_53_stack\overrides\task035.onnx,outputs\candidates\current_6352_53_zero_add_removed\task035_ZeroAddRemoved.onnx,455,455,0,3707,3707,0,0,0,no zero-add patterns found
task036,outputs\current_6352_53_stack\overrides\task036.onnx,outputs\candidates\current_6352_53_zero_add_removed\task036_ZeroAddRemoved.onnx,867,867,0,3950,3950,0,0,0,no zero-add patterns found
task037,outputs\current_6352_53_stack\overrides\task037.onnx,outputs\candidates\current_6352_53_zero_add_removed\task037_ZeroAddRemoved.onnx,25086,25086,0,19527,19527,0,0,0,no zero-add patterns found
task038,outputs\current_6352_53_stack\overrides\task038.onnx,outputs\candidates\current_6352_53_zero_add_removed\task038_ZeroAddRemoved.onnx,298,298,0,2559,2559,0,0,0,no zero-add patterns found
task039,outputs\current_6352_53_stack\overrides\task039.onnx,outputs\candidates\current_6352_53_zero_add_removed\task039_ZeroAddRemoved.onnx,248,248,0,1913,1913,0,0,0,no zero-add patterns found
task040,outputs\current_6352_53_stack\overrides\task040.onnx,outputs\candidates\current_6352_53_zero_add_removed\task040_ZeroAddRemoved.onnx,370,370,0,4167,4167,0,0,0,no zero-add patterns found
task041,outputs\current_6352_53_stack\overrides\task041.onnx,outputs\candidates\current_6352_53_zero_add_removed\task041_ZeroAddRemoved.onnx,187,187,0,2110,2110,0,0,0,no zero-add patterns found
task042,outputs\current_6352_53_stack\overrides\task042.onnx,outputs\candidates\current_6352_53_zero_add_removed\task042_ZeroAddRemoved.onnx,2448,2448,0,6490,6490,0,0,0,no zero-add patterns found
task043,outputs\current_6352_53_stack\overrides\task043.onnx,outputs\candidates\current_6352_53_zero_add_removed\task043_ZeroAddRemoved.onnx,772,772,0,2224,2224,0,0,0,no zero-add patterns found
task044,outputs\current_6352_53_stack\overrides\task044.onnx,outputs\candidates\current_6352_53_zero_add_removed\task044_ZeroAddRemoved.onnx,1187,1187,0,22235,22235,0,0,0,no zero-add patterns found
task045,outputs\current_6352_53_stack\overrides\task045.onnx,outputs\candidates\current_6352_53_zero_add_removed\task045_ZeroAddRemoved.onnx,225,225,0,1425,1425,0,0,0,no zero-add patterns found
