task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task038,base_submission,outputs\current_6352_53_stack\base_submission\task038.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task039,base_submission,outputs\current_6352_53_stack\base_submission\task039.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task040,base_submission,outputs\current_6352_53_stack\base_submission\task040.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task041,base_submission,outputs\current_6352_53_stack\base_submission\task041.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task042,base_submission,outputs\current_6352_53_stack\base_submission\task042.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task043,base_submission,outputs\current_6352_53_stack\base_submission\task043.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task044,base_submission,outputs\current_6352_53_stack\base_submission\task044.onnx,outputs\candidates\terminal_output_cast_prune_6352_53_base\task044_base_submission_TerminalOutputCastPruned.onnx,2380303,2362303,-18000,148684,148562,-122,,,0,,,True,1,0,,0,0,0,0,True,True,True,not_run,,,True,
task045,base_submission,outputs\current_6352_53_stack\base_submission\task045.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task046,base_submission,outputs\current_6352_53_stack\base_submission\task046.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task047,base_submission,outputs\current_6352_53_stack\base_submission\task047.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task048,base_submission,outputs\current_6352_53_stack\base_submission\task048.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task049,base_submission,outputs\current_6352_53_stack\base_submission\task049.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task050,base_submission,outputs\current_6352_53_stack\base_submission\task050.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task051,base_submission,outputs\current_6352_53_stack\base_submission\task051.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task052,base_submission,outputs\current_6352_53_stack\base_submission\task052.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task053,base_submission,outputs\current_6352_53_stack\base_submission\task053.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task054,base_submission,outputs\current_6352_53_stack\base_submission\task054.onnx,outputs\candidates\terminal_output_cast_prune_6352_53_base\task054_base_submission_TerminalOutputCastPruned.onnx,182056,173056,-9000,9728,9661,-67,,,0,,,True,1,0,,0,0,0,0,True,True,True,not_run,,,True,
task055,base_submission,outputs\current_6352_53_stack\base_submission\task055.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task056,base_submission,outputs\current_6352_53_stack\base_submission\task056.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task057,base_submission,outputs\current_6352_53_stack\base_submission\task057.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task058,base_submission,outputs\current_6352_53_stack\base_submission\task058.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task059,base_submission,outputs\current_6352_53_stack\base_submission\task059.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task060,base_submission,outputs\current_6352_53_stack\base_submission\task060.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task061,base_submission,outputs\current_6352_53_stack\base_submission\task061.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task062,base_submission,outputs\current_6352_53_stack\base_submission\task062.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task063,base_submission,outputs\current_6352_53_stack\base_submission\task063.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task064,base_submission,outputs\current_6352_53_stack\base_submission\task064.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task065,base_submission,outputs\current_6352_53_stack\base_submission\task065.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task066,base_submission,outputs\current_6352_53_stack\base_submission\task066.onnx,outputs\candidates\terminal_output_cast_prune_6352_53_base\task066_base_submission_TerminalOutputCastPruned.onnx,499535,481535,-18000,180173,180045,-128,,,0,,,True,1,0,,0,0,0,0,True,True,True,not_run,,,True,
task067,base_submission,outputs\current_6352_53_stack\base_submission\task067.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task068,base_submission,outputs\current_6352_53_stack\base_submission\task068.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task069,base_submission,outputs\current_6352_53_stack\base_submission\task069.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task070,base_submission,outputs\current_6352_53_stack\base_submission\task070.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task071,base_submission,outputs\current_6352_53_stack\base_submission\task071.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
