task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task031,base_submission,outputs\reference_6348_56_stack\base_submission\task031.onnx,,470,470,0,3417,3417,0,412,412,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task032,base_submission,outputs\reference_6348_56_stack\base_submission\task032.onnx,,409,409,0,2347,2347,0,340,340,0,10,10,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task033,base_submission,outputs\reference_6348_56_stack\base_submission\task033.onnx,,369,369,0,1510,1510,0,320,320,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task034,base_submission,outputs\reference_6348_56_stack\base_submission\task034.onnx,,7701,7701,0,11293,11293,0,4854,4854,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task035,base_submission,outputs\reference_6348_56_stack\base_submission\task035.onnx,,1389,1389,0,12869,12869,0,1164,1164,0,32,32,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task036,base_submission,outputs\reference_6348_56_stack\base_submission\task036.onnx,,1299,1299,0,5866,5866,0,1140,1140,0,17,17,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task037,base_submission,outputs\reference_6348_56_stack\base_submission\task037.onnx,,25086,25086,0,20424,20424,0,16760,16760,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task038,base_submission,outputs\reference_6348_56_stack\base_submission\task038.onnx,,493,493,0,2357,2357,0,416,416,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task039,base_submission,outputs\reference_6348_56_stack\base_submission\task039.onnx,,248,248,0,1913,1913,0,220,220,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task040,base_submission,outputs\reference_6348_56_stack\base_submission\task040.onnx,,370,370,0,4104,4104,0,308,308,0,20,20,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task041,base_submission,outputs\reference_6348_56_stack\base_submission\task041.onnx,,243,243,0,2228,2228,0,216,216,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task042,base_submission,outputs\reference_6348_56_stack\base_submission\task042.onnx,,888,888,0,8398,8398,0,728,728,0,18,18,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task043,base_submission,outputs\reference_6348_56_stack\base_submission\task043.onnx,,777,777,0,1966,1966,0,638,638,0,14,14,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task044,base_submission,outputs\reference_6348_56_stack\base_submission\task044.onnx,,6291,6291,0,148684,148684,0,4876,4876,0,59,59,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task045,base_submission,outputs\reference_6348_56_stack\base_submission\task045.onnx,,244,244,0,1438,1438,0,212,212,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task046,base_submission,outputs\reference_6348_56_stack\base_submission\task046.onnx,,4446,4446,0,8963,8963,0,3580,3580,0,26,26,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task047,base_submission,outputs\reference_6348_56_stack\base_submission\task047.onnx,,747,747,0,3246,3246,0,620,620,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task048,base_submission,outputs\reference_6348_56_stack\base_submission\task048.onnx,,462,462,0,5695,5695,0,396,396,0,15,15,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task049,base_submission,outputs\reference_6348_56_stack\base_submission\task049.onnx,,942,942,0,3516,3516,0,792,792,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task050,base_submission,outputs\reference_6348_56_stack\base_submission\task050.onnx,,675,675,0,2540,2540,0,425,425,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task051,base_submission,outputs\reference_6348_56_stack\base_submission\task051.onnx,outputs\candidates\ref6348_equiv_optimized_stack_graphonly\base_submission\task051.onnx,667,658,-9,3365,3330,-35,588,580,-8,13,12,True,0,0,0,1,0,0,0,True,True,True,True,28,0.0,True,
task052,base_submission,outputs\reference_6348_56_stack\base_submission\task052.onnx,,283,283,0,1277,1277,0,240,240,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task053,base_submission,outputs\reference_6348_56_stack\base_submission\task053.onnx,,270,270,0,175,175,0,240,240,0,1,1,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task054,base_submission,outputs\reference_6348_56_stack\base_submission\task054.onnx,,1061,1061,0,9728,9728,0,900,900,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task055,base_submission,outputs\reference_6348_56_stack\base_submission\task055.onnx,,5090,5090,0,21458,21458,0,4096,4096,0,37,37,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task056,base_submission,outputs\reference_6348_56_stack\base_submission\task056.onnx,,592,592,0,1515,1515,0,492,492,0,10,10,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task057,base_submission,outputs\reference_6348_56_stack\base_submission\task057.onnx,,99,99,0,1880,1880,0,88,88,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task058,base_submission,outputs\reference_6348_56_stack\base_submission\task058.onnx,,32257,32257,0,27439,27439,0,25812,25812,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task059,base_submission,outputs\reference_6348_56_stack\base_submission\task059.onnx,,12909,12909,0,12715,12715,0,10356,10356,0,19,19,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task060,base_submission,outputs\reference_6348_56_stack\base_submission\task060.onnx,,1057,1057,0,3039,3039,0,876,876,0,18,18,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task061,base_submission,outputs\reference_6348_56_stack\base_submission\task061.onnx,,17726,17726,0,17030,17030,0,15754,15754,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task062,base_submission,outputs\reference_6348_56_stack\base_submission\task062.onnx,,4713,4713,0,22124,22124,0,3784,3784,0,26,26,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task063,base_submission,outputs\reference_6348_56_stack\base_submission\task063.onnx,,276,276,0,3709,3709,0,244,244,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task064,base_submission,outputs\reference_6348_56_stack\base_submission\task064.onnx,,978,978,0,5809,5809,0,740,740,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task065,base_submission,outputs\reference_6348_56_stack\base_submission\task065.onnx,,561,561,0,2705,2705,0,484,484,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task066,base_submission,outputs\reference_6348_56_stack\base_submission\task066.onnx,,430,430,0,180173,180173,0,314,314,0,29,29,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task067,base_submission,outputs\reference_6348_56_stack\base_submission\task067.onnx,,165,165,0,892,892,0,132,132,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task068,base_submission,outputs\reference_6348_56_stack\base_submission\task068.onnx,,199,199,0,2335,2335,0,172,172,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task069,base_submission,outputs\reference_6348_56_stack\base_submission\task069.onnx,,7362,7362,0,32330,32330,0,5050,5050,0,43,43,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task070,base_submission,outputs\reference_6348_56_stack\base_submission\task070.onnx,,258,258,0,11844,11844,0,180,180,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task071,base_submission,outputs\reference_6348_56_stack\base_submission\task071.onnx,,8238,8238,0,12082,12082,0,7308,7308,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task072,base_submission,outputs\reference_6348_56_stack\base_submission\task072.onnx,,462,462,0,1625,1625,0,384,384,0,8,8,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task073,base_submission,outputs\reference_6348_56_stack\base_submission\task073.onnx,,4550,4550,0,3825,3825,0,3640,3640,0,2,2,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task074,base_submission,outputs\reference_6348_56_stack\base_submission\task074.onnx,,321,321,0,1824,1824,0,276,276,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task075,base_submission,outputs\reference_6348_56_stack\base_submission\task075.onnx,,509,509,0,7736,7736,0,452,452,0,30,30,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task076,base_submission,outputs\reference_6348_56_stack\base_submission\task076.onnx,,1147810,1147810,0,948872,948872,0,918312,918312,0,44,44,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task077,base_submission,outputs\reference_6348_56_stack\base_submission\task077.onnx,,6972,6972,0,9860,9860,0,4759,4759,0,20,20,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task078,base_submission,outputs\reference_6348_56_stack\base_submission\task078.onnx,,276,276,0,2588,2588,0,240,240,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task079,base_submission,outputs\reference_6348_56_stack\base_submission\task079.onnx,,1301,1301,0,2695,2695,0,1056,1056,0,7,7,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task080,base_submission,outputs\reference_6348_56_stack\base_submission\task080.onnx,,9335,9335,0,18484,18484,0,7842,7842,0,31,31,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task081,base_submission,outputs\reference_6348_56_stack\base_submission\task081.onnx,,627,627,0,3749,3749,0,518,518,0,17,17,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task082,base_submission,outputs\reference_6348_56_stack\base_submission\task082.onnx,,443,443,0,2282,2282,0,364,364,0,10,10,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task083,base_submission,outputs\reference_6348_56_stack\base_submission\task083.onnx,,9000,9000,0,7454,7454,0,7200,7200,0,1,1,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task084,base_submission,outputs\reference_6348_56_stack\base_submission\task084.onnx,outputs\candidates\ref6348_equiv_optimized_stack_graphonly\base_submission\task084.onnx,1390970,1386335,-4635,1127799,1123454,-4345,1112776,1109068,-3708,142,114,True,0,0,0,28,0,0,0,True,True,True,True,28,0.0,True,
task085,base_submission,outputs\reference_6348_56_stack\base_submission\task085.onnx,,558,558,0,2547,2547,0,420,420,0,14,14,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task086,base_submission,outputs\reference_6348_56_stack\base_submission\task086.onnx,,1153,1153,0,4727,4727,0,928,928,0,19,19,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task087,base_submission,outputs\reference_6348_56_stack\base_submission\task087.onnx,,144,144,0,474,474,0,128,128,0,5,5,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task088,base_submission,outputs\reference_6348_56_stack\base_submission\task088.onnx,,10824,10824,0,14980,14980,0,9572,9572,0,18,18,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task089,base_submission,outputs\reference_6348_56_stack\base_submission\task089.onnx,,879,879,0,17792,17792,0,780,780,0,25,25,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task090,base_submission,outputs\reference_6348_56_stack\base_submission\task090.onnx,,438,438,0,19660,19660,0,334,334,0,41,41,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task091,base_submission,outputs\reference_6348_56_stack\base_submission\task091.onnx,,963,963,0,4627,4627,0,856,856,0,14,14,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task092,base_submission,outputs\reference_6348_56_stack\base_submission\task092.onnx,,90,90,0,4299,4299,0,64,64,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task093,base_submission,outputs\reference_6348_56_stack\base_submission\task093.onnx,,667,667,0,5415,5415,0,556,556,0,15,15,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task094,base_submission,outputs\reference_6348_56_stack\base_submission\task094.onnx,,802,802,0,3767,3767,0,712,712,0,21,21,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task095,base_submission,outputs\reference_6348_56_stack\base_submission\task095.onnx,,4550,4550,0,3950,3950,0,3640,3640,0,2,2,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task096,base_submission,outputs\reference_6348_56_stack\base_submission\task096.onnx,,8858,8858,0,64252,64252,0,6732,6732,0,42,42,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task097,base_submission,outputs\reference_6348_56_stack\base_submission\task097.onnx,,1938,1938,0,2494,2494,0,1016,1016,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task098,base_submission,outputs\reference_6348_56_stack\base_submission\task098.onnx,,4550,4550,0,3836,3836,0,3640,3640,0,2,2,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task099,base_submission,outputs\reference_6348_56_stack\base_submission\task099.onnx,,24550,24550,0,19839,19839,0,19640,19640,0,2,2,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task100,base_submission,outputs\reference_6348_56_stack\base_submission\task100.onnx,,335,335,0,4954,4954,0,292,292,0,14,14,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task101,base_submission,outputs\reference_6348_56_stack\base_submission\task101.onnx,,14360,14360,0,39301,39301,0,9696,9696,0,38,38,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task102,base_submission,outputs\reference_6348_56_stack\base_submission\task102.onnx,,1137,1137,0,22167,22167,0,798,798,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task103,base_submission,outputs\reference_6348_56_stack\base_submission\task103.onnx,,425,425,0,1669,1669,0,368,368,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task104,base_submission,outputs\reference_6348_56_stack\base_submission\task104.onnx,,5414,5414,0,6350,6350,0,4344,4344,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task105,base_submission,outputs\reference_6348_56_stack\base_submission\task105.onnx,,36364,36364,0,35291,35291,0,29096,29096,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task106,base_submission,outputs\reference_6348_56_stack\base_submission\task106.onnx,,746,746,0,2939,2939,0,621,621,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task107,base_submission,outputs\reference_6348_56_stack\base_submission\task107.onnx,,42039,42039,0,31191,31191,0,28358,28358,0,30,30,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task108,base_submission,outputs\reference_6348_56_stack\base_submission\task108.onnx,,9000,9000,0,7454,7454,0,7200,7200,0,1,1,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
