task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task038,outputs\reference_6275_flat\task038.onnx,outputs\candidates\ref6275_deduplicated\task038_DeduplicateInitializers.onnx,298,298,0,2559,2559,0,13,13,0,0
task039,outputs\reference_6275_flat\task039.onnx,outputs\candidates\ref6275_deduplicated\task039_DeduplicateInitializers.onnx,248,248,0,1913,1913,0,9,9,0,0
task040,outputs\reference_6275_flat\task040.onnx,outputs\candidates\ref6275_deduplicated\task040_DeduplicateInitializers.onnx,370,370,0,4167,4167,0,20,20,0,0
task041,outputs\reference_6275_flat\task041.onnx,outputs\candidates\ref6275_deduplicated\task041_DeduplicateInitializers.onnx,187,187,0,2110,2110,0,7,7,0,0
task042,outputs\reference_6275_flat\task042.onnx,outputs\candidates\ref6275_deduplicated\task042_DeduplicateInitializers.onnx,2445,2445,0,8525,8525,0,22,22,0,0
task043,outputs\reference_6275_flat\task043.onnx,outputs\candidates\ref6275_deduplicated\task043_DeduplicateInitializers.onnx,772,772,0,2224,2224,0,13,13,0,0
task044,outputs\reference_6275_flat\task044.onnx,outputs\candidates\ref6275_deduplicated\task044_DeduplicateInitializers.onnx,567,567,0,22589,22589,0,21,21,0,0
task045,outputs\reference_6275_flat\task045.onnx,outputs\candidates\ref6275_deduplicated\task045_DeduplicateInitializers.onnx,225,225,0,1425,1425,0,9,9,0,0
task046,outputs\reference_6275_flat\task046.onnx,outputs\candidates\ref6275_deduplicated\task046_DeduplicateInitializers.onnx,2772,2772,0,5299,5299,0,26,26,0,0
task047,outputs\reference_6275_flat\task047.onnx,outputs\candidates\ref6275_deduplicated\task047_DeduplicateInitializers.onnx,324,324,0,3091,3091,0,8,8,0,0
task048,outputs\reference_6275_flat\task048.onnx,outputs\candidates\ref6275_deduplicated\task048_DeduplicateInitializers.onnx,396,396,0,4058,4058,0,15,15,0,0
task049,outputs\reference_6275_flat\task049.onnx,outputs\candidates\ref6275_deduplicated\task049_DeduplicateInitializers.onnx,942,942,0,3516,3516,0,12,12,0,0
task050,outputs\reference_6275_flat\task050.onnx,outputs\candidates\ref6275_deduplicated\task050_DeduplicateInitializers.onnx,675,675,0,2006,2006,0,9,9,0,0
task051,outputs\reference_6275_flat\task051.onnx,outputs\candidates\ref6275_deduplicated\task051_DeduplicateInitializers.onnx,612,612,0,3352,3352,0,12,12,0,0
task052,outputs\reference_6275_flat\task052.onnx,outputs\candidates\ref6275_deduplicated\task052_DeduplicateInitializers.onnx,231,231,0,986,986,0,12,12,0,0
task053,outputs\reference_6275_flat\task053.onnx,outputs\candidates\ref6275_deduplicated\task053_DeduplicateInitializers.onnx,270,270,0,175,175,0,1,1,0,0
task054,outputs\reference_6275_flat\task054.onnx,outputs\candidates\ref6275_deduplicated\task054_DeduplicateInitializers.onnx,1061,1061,0,5551,5551,0,16,16,0,0
task055,outputs\reference_6275_flat\task055.onnx,outputs\candidates\ref6275_deduplicated\task055_DeduplicateInitializers.onnx,3162,3162,0,13886,13886,0,37,37,0,0
task056,outputs\reference_6275_flat\task056.onnx,outputs\candidates\ref6275_deduplicated\task056_DeduplicateInitializers.onnx,231,231,0,815,815,0,3,3,0,0
task057,outputs\reference_6275_flat\task057.onnx,outputs\candidates\ref6275_deduplicated\task057_DeduplicateInitializers.onnx,173,173,0,1616,1616,0,6,6,0,0
task058,outputs\reference_6275_flat\task058.onnx,outputs\candidates\ref6275_deduplicated\task058_DeduplicateInitializers.onnx,19415,19415,0,14194,14194,0,11,11,0,0
task059,outputs\reference_6275_flat\task059.onnx,outputs\candidates\ref6275_deduplicated\task059_DeduplicateInitializers.onnx,7821,7821,0,6897,6897,0,16,16,0,0
task060,outputs\reference_6275_flat\task060.onnx,outputs\candidates\ref6275_deduplicated\task060_DeduplicateInitializers.onnx,771,771,0,2458,2458,0,18,18,0,0
task061,outputs\reference_6275_flat\task061.onnx,outputs\candidates\ref6275_deduplicated\task061_DeduplicateInitializers.onnx,17726,17726,0,17030,17030,0,12,12,0,0
task062,outputs\reference_6275_flat\task062.onnx,outputs\candidates\ref6275_deduplicated\task062_DeduplicateInitializers.onnx,2994,2994,0,23218,23218,0,29,29,0,0
task063,outputs\reference_6275_flat\task063.onnx,outputs\candidates\ref6275_deduplicated\task063_DeduplicateInitializers.onnx,276,276,0,3709,3709,0,13,13,0,0
