task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task131,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task131.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task131_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task131_ZeroInitializerCompression\submission.zip,,,,7860,6203,aef2df6731cdd0168ed41a7637a2b939bb42ff5efe498e6732b1bc4fa4aa2d64,76629655be10e0a89deb00f21a244a231c500c097f5fc9f25089e54fc91c0f76,True,
task139,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task139.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task139_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task139_ZeroInitializerCompression\submission.zip,,,,3865,3929,e3e6133e136fc342560390d22bb08861dc290ef6c9f64e8854070984d4a5946f,091ea52d40dd43f09f0407c3513d01d2f1713cf1dfe82e7443df6b27597827e0,True,
task144,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task144.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task144_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task144_ZeroInitializerCompression\submission.zip,,,,1321,1463,e4f87f7c8573c08ffd41e89f094d4e46ec04360c13b6e15bbeef1619434c1c23,3df4965ccf3dcaf02df5b05c6d83cb08da04d86b36545a3490de68a16b6c8314,True,
task145,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task145.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task145_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task145_ZeroInitializerCompression\submission.zip,,,,19982,18321,56b66728666329e2dd3c2c70b5c11b0cecc7b7dbeadcc916e3420976161016e6,cd4108b8dfa17eb42ecf881d94a575d19d1ab359b762240cbacf06112cc13df1,True,
task148,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task148.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task148_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task148_ZeroInitializerCompression\submission.zip,,,,6750,6289,977766efe15f7fabde643b68e24ea47cc5d9069210a295f8ba0c7ab3a2f5b9de,68c283141742dd8a6562bf2e201e304b5b462d68120b99b2b5d553fc6bf6645b,True,
task184,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task184.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task184_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task184_ZeroInitializerCompression\submission.zip,,,,43202,7341,e2dcc9362cac03db34174d9cfe83b4528b95b776befd30fdd1cdc73bfb758161,76b65d9816aa287219a9f23895ca02295f0abd3efd10af055c7ed4ab3cb91223,True,
task195,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task195.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task195_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task195_ZeroInitializerCompression\submission.zip,,,,5381,4640,ba4b722b42ea9bdbffbe4fcf38c90d387045eee91e245e77f502c246c158e0dd,55278b3de42b69b6996d9bbdb8f16d6b6efe5143fa33711becc2a82307392799,True,
task198,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task198.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task198_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task198_ZeroInitializerCompression\submission.zip,,,,6979,5322,a1cd099e3d965fb4506eded8d4bde77ea202357df70e9212b36911ca002c8cb1,0c07e97f58a3f4151b8aa9b8eba0e4ac53bcd1c530785682e571faf6ae572d20,True,
task204,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task204.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task204_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task204_ZeroInitializerCompression\submission.zip,,,,7250,6981,ba4ffbc5c9eef0b8cdd6718a27b6cbdd935d550ffba5f90c34d687d2d4595565,c05eedda560c39de14cb0b824f45f7084cf36af71873552964c9081c82077b2e,True,
task212,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task212.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task212_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task212_ZeroInitializerCompression\submission.zip,,,,5951,5882,93baf50b6cb009807442a7135ea10f2dbc32711b2476067127e4eb9469485aca,4799e98b1cfeda6a83a18c015eb3285756bbdbf97f810ceb156461e95651f01e,True,
