task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task037,outputs\current_6349_78_stack\overrides\task037.onnx,outputs\candidates\dedup_6349_78\task037_DeduplicateInitializers.onnx,25086,25086,0,19527,19527,0,13,13,0,0
task038,outputs\current_6349_78_stack\overrides\task038.onnx,outputs\candidates\dedup_6349_78\task038_DeduplicateInitializers.onnx,298,298,0,2559,2559,0,13,13,0,0
task039,outputs\current_6349_78_stack\overrides\task039.onnx,outputs\candidates\dedup_6349_78\task039_DeduplicateInitializers.onnx,248,248,0,1913,1913,0,9,9,0,0
task040,outputs\current_6349_78_stack\overrides\task040.onnx,outputs\candidates\dedup_6349_78\task040_DeduplicateInitializers.onnx,370,370,0,4167,4167,0,20,20,0,0
task041,outputs\current_6349_78_stack\overrides\task041.onnx,outputs\candidates\dedup_6349_78\task041_DeduplicateInitializers.onnx,187,187,0,2110,2110,0,7,7,0,0
task042,outputs\current_6349_78_stack\overrides\task042.onnx,outputs\candidates\dedup_6349_78\task042_DeduplicateInitializers.onnx,2448,2448,0,6490,6490,0,23,23,0,0
task043,outputs\current_6349_78_stack\overrides\task043.onnx,outputs\candidates\dedup_6349_78\task043_DeduplicateInitializers.onnx,772,772,0,2224,2224,0,13,13,0,0
task044,outputs\current_6349_78_stack\overrides\task044.onnx,outputs\candidates\dedup_6349_78\task044_DeduplicateInitializers.onnx,1187,1187,0,22235,22235,0,28,28,0,0
task045,outputs\current_6349_78_stack\overrides\task045.onnx,outputs\candidates\dedup_6349_78\task045_DeduplicateInitializers.onnx,225,225,0,1425,1425,0,9,9,0,0
task046,outputs\current_6349_78_stack\overrides\task046.onnx,outputs\candidates\dedup_6349_78\task046_DeduplicateInitializers.onnx,2772,2772,0,7494,7494,0,26,26,0,0
task047,outputs\current_6349_78_stack\overrides\task047.onnx,outputs\candidates\dedup_6349_78\task047_DeduplicateInitializers.onnx,324,324,0,3091,3091,0,8,8,0,0
task048,outputs\current_6349_78_stack\overrides\task048.onnx,outputs\candidates\dedup_6349_78\task048_DeduplicateInitializers.onnx,396,396,0,4064,4064,0,15,15,0,0
task049,outputs\current_6349_78_stack\overrides\task049.onnx,outputs\candidates\dedup_6349_78\task049_DeduplicateInitializers.onnx,1276,1276,0,3265,3265,0,12,12,0,0
task050,outputs\current_6349_78_stack\overrides\task050.onnx,outputs\candidates\dedup_6349_78\task050_DeduplicateInitializers.onnx,675,675,0,1939,1939,0,9,9,0,0
task051,outputs\current_6349_78_stack\overrides\task051.onnx,outputs\candidates\dedup_6349_78\task051_DeduplicateInitializers.onnx,713,713,0,3039,3039,0,13,13,0,0
task052,outputs\current_6349_78_stack\overrides\task052.onnx,outputs\candidates\dedup_6349_78\task052_DeduplicateInitializers.onnx,231,231,0,986,986,0,12,12,0,0
task053,outputs\current_6349_78_stack\overrides\task053.onnx,outputs\candidates\dedup_6349_78\task053_DeduplicateInitializers.onnx,270,270,0,175,175,0,1,1,0,0
