task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task064,True,outputs\hybrid_6275_current_min_cost_onnx\task064.onnx,784,7151,,True
task065,True,outputs\hybrid_6275_current_min_cost_onnx\task065.onnx,369,1853,,True
task066,True,outputs\hybrid_6275_current_min_cost_onnx\task066.onnx,430,180173,,True
task067,True,outputs\hybrid_6275_current_min_cost_onnx\task067.onnx,165,892,,True
task068,True,outputs\hybrid_6275_current_min_cost_onnx\task068.onnx,177,1602,,True
task069,True,outputs\hybrid_6275_current_min_cost_onnx\task069.onnx,4602,30432,,True
task070,True,outputs\hybrid_6275_current_min_cost_onnx\task070.onnx,258,11844,,True
task071,True,outputs\hybrid_6275_current_min_cost_onnx\task071.onnx,393,5298,,True
task072,True,outputs\hybrid_6275_current_min_cost_onnx\task072.onnx,255,1289,,True
task073,False,outputs\hybrid_6275_current_min_cost_onnx\task073.onnx,4550,3825,nonzero_padding_cells: case=0,False
task074,True,outputs\hybrid_6275_current_min_cost_onnx\task074.onnx,321,1824,,True
task075,True,outputs\hybrid_6275_current_min_cost_onnx\task075.onnx,507,6812,,True
task076,True,outputs\hybrid_6275_current_min_cost_onnx\task076.onnx,1461,24619,,True
task077,True,outputs\hybrid_6275_current_min_cost_onnx\task077.onnx,921,3638,,True
task078,True,outputs\hybrid_6275_current_min_cost_onnx\task078.onnx,252,1974,,True
task079,True,outputs\hybrid_6275_current_min_cost_onnx\task079.onnx,1301,2695,,True
task080,True,outputs\hybrid_6275_current_min_cost_onnx\task080.onnx,1198,10180,,True
task081,True,outputs\hybrid_6275_current_min_cost_onnx\task081.onnx,627,3749,,True
task082,True,outputs\hybrid_6275_current_min_cost_onnx\task082.onnx,392,1638,,True
task083,True,outputs\hybrid_6275_current_min_cost_onnx\task083.onnx,9000,7454,,True
task084,True,outputs\hybrid_6275_current_min_cost_onnx\task084.onnx,499,2820,,True
task085,True,outputs\hybrid_6275_current_min_cost_onnx\task085.onnx,558,2547,,True
task086,True,outputs\hybrid_6275_current_min_cost_onnx\task086.onnx,717,3099,,True
task087,True,outputs\hybrid_6275_current_min_cost_onnx\task087.onnx,72,394,,True
task088,True,outputs\hybrid_6275_current_min_cost_onnx\task088.onnx,1008,4099,,True
task089,True,outputs\hybrid_6275_current_min_cost_onnx\task089.onnx,876,11171,,True
task090,True,outputs\hybrid_6275_current_min_cost_onnx\task090.onnx,438,19660,,True
task091,True,outputs\hybrid_6275_current_min_cost_onnx\task091.onnx,702,4393,,True
task092,True,outputs\hybrid_6275_current_min_cost_onnx\task092.onnx,90,4299,,True
task093,True,outputs\hybrid_6275_current_min_cost_onnx\task093.onnx,354,6234,,True
task094,True,outputs\hybrid_6275_current_min_cost_onnx\task094.onnx,552,2932,,True
task095,False,outputs\hybrid_6275_current_min_cost_onnx\task095.onnx,4550,3950,nonzero_padding_cells: case=0,False
task096,True,outputs\hybrid_6275_current_min_cost_onnx\task096.onnx,3998,42567,,True
task097,True,outputs\hybrid_6275_current_min_cost_onnx\task097.onnx,27,904,,True
task098,False,outputs\hybrid_6275_current_min_cost_onnx\task098.onnx,4550,3836,nonzero_padding_cells: case=0,False
task099,False,outputs\hybrid_6275_current_min_cost_onnx\task099.onnx,24550,19839,nonzero_padding_cells: case=0,False
task100,True,outputs\hybrid_6275_current_min_cost_onnx\task100.onnx,335,4954,,True
task101,True,outputs\hybrid_6275_current_min_cost_onnx\task101.onnx,594,19538,,True
task102,True,outputs\hybrid_6275_current_min_cost_onnx\task102.onnx,1137,22167,,True
task103,True,outputs\hybrid_6275_current_min_cost_onnx\task103.onnx,180,979,,True
task104,True,outputs\hybrid_6275_current_min_cost_onnx\task104.onnx,3066,3505,,True
