task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task314,True,outputs\hybrid_6275_current_min_cost_onnx\task314.onnx,1536,24532,,True
task315,True,outputs\hybrid_6275_current_min_cost_onnx\task315.onnx,307,1461,,True
task316,True,outputs\hybrid_6275_current_min_cost_onnx\task316.onnx,276,5537,,True
task317,True,outputs\hybrid_6275_current_min_cost_onnx\task317.onnx,4500,3798,,True
task318,True,outputs\hybrid_6275_current_min_cost_onnx\task318.onnx,0,728,,True
task319,True,outputs\hybrid_6275_current_min_cost_onnx\task319.onnx,741,8028,,True
task320,True,outputs\hybrid_6275_current_min_cost_onnx\task320.onnx,565,2183,,True
task321,True,outputs\hybrid_6275_current_min_cost_onnx\task321.onnx,189,2349,,True
task322,True,outputs\hybrid_6275_current_min_cost_onnx\task322.onnx,0,539,,True
task323,True,outputs\hybrid_6275_current_min_cost_onnx\task323.onnx,1199,8184,,True
task324,True,outputs\hybrid_6275_current_min_cost_onnx\task324.onnx,5310,6861,,True
task325,True,outputs\hybrid_6275_current_min_cost_onnx\task325.onnx,3996,5072,,True
task326,True,outputs\hybrid_6275_current_min_cost_onnx\task326.onnx,0,251,,True
task327,True,outputs\hybrid_6275_current_min_cost_onnx\task327.onnx,126,2321,,True
task328,True,outputs\hybrid_6275_current_min_cost_onnx\task328.onnx,2532,10607,,True
task329,True,outputs\hybrid_6275_current_min_cost_onnx\task329.onnx,282,1652,,True
task330,True,outputs\hybrid_6275_current_min_cost_onnx\task330.onnx,5579,7080,,True
task331,False,outputs\hybrid_6275_current_min_cost_onnx\task331.onnx,4550,3836,nonzero_padding_cells: case=0,False
task332,True,outputs\hybrid_6275_current_min_cost_onnx\task332.onnx,527,2514,,True
task333,True,outputs\hybrid_6275_current_min_cost_onnx\task333.onnx,393,4379,,True
task334,True,outputs\hybrid_6275_current_min_cost_onnx\task334.onnx,165,889,,True
task335,True,outputs\hybrid_6275_current_min_cost_onnx\task335.onnx,477,3440,,True
task336,True,outputs\hybrid_6275_current_min_cost_onnx\task336.onnx,505,5276,,True
task337,True,outputs\hybrid_6275_current_min_cost_onnx\task337.onnx,90,159,,True
task338,True,outputs\hybrid_6275_current_min_cost_onnx\task338.onnx,3335,5846,,True
task339,True,outputs\hybrid_6275_current_min_cost_onnx\task339.onnx,468,1588,,True
task340,True,outputs\hybrid_6275_current_min_cost_onnx\task340.onnx,696,4147,,True
task341,True,outputs\hybrid_6275_current_min_cost_onnx\task341.onnx,2523,8743,,True
task342,True,outputs\hybrid_6275_current_min_cost_onnx\task342.onnx,284,2836,,True
task343,True,outputs\hybrid_6275_current_min_cost_onnx\task343.onnx,2592,10429,,True
task344,False,outputs\hybrid_6275_current_min_cost_onnx\task344.onnx,12550,10236,nonzero_padding_cells: case=0,False
task345,True,outputs\hybrid_6275_current_min_cost_onnx\task345.onnx,4741,6721,,True
task346,True,outputs\hybrid_6275_current_min_cost_onnx\task346.onnx,191,1781,,True
task347,True,outputs\hybrid_6275_current_min_cost_onnx\task347.onnx,0,1234,,True
task348,True,outputs\hybrid_6275_current_min_cost_onnx\task348.onnx,463,1950,,True
task349,True,outputs\hybrid_6275_current_min_cost_onnx\task349.onnx,258,8755,,True
task350,True,outputs\hybrid_6275_current_min_cost_onnx\task350.onnx,230,1984,,True
task351,True,outputs\hybrid_6275_current_min_cost_onnx\task351.onnx,354,3049,,True
task352,True,outputs\hybrid_6275_current_min_cost_onnx\task352.onnx,234,1398,,True
task353,True,outputs\hybrid_6275_current_min_cost_onnx\task353.onnx,745,3244,,True
task354,True,outputs\hybrid_6275_current_min_cost_onnx\task354.onnx,612,2710,,True
task355,True,outputs\hybrid_6275_current_min_cost_onnx\task355.onnx,437,3971,,True
task356,True,outputs\hybrid_6275_current_min_cost_onnx\task356.onnx,389,2324,,True
task357,True,outputs\hybrid_6275_current_min_cost_onnx\task357.onnx,257,1767,,True
task358,True,outputs\hybrid_6275_current_min_cost_onnx\task358.onnx,1203,6541,,True
task359,True,outputs\hybrid_6275_current_min_cost_onnx\task359.onnx,117,1184,,True
task360,True,outputs\hybrid_6275_current_min_cost_onnx\task360.onnx,228,1168,,True
task361,True,outputs\hybrid_6275_current_min_cost_onnx\task361.onnx,2332,6846,,True
task362,True,outputs\hybrid_6275_current_min_cost_onnx\task362.onnx,261,1696,,True
task363,True,outputs\hybrid_6275_current_min_cost_onnx\task363.onnx,1014,5425,,True
task364,True,outputs\hybrid_6275_current_min_cost_onnx\task364.onnx,1095,7050,,True
task365,True,outputs\hybrid_6275_current_min_cost_onnx\task365.onnx,627,16991,,True
task366,True,outputs\hybrid_6275_current_min_cost_onnx\task366.onnx,13979,84301,,True
task367,True,outputs\hybrid_6275_current_min_cost_onnx\task367.onnx,717,6278,,True
task368,True,outputs\hybrid_6275_current_min_cost_onnx\task368.onnx,429,8950,,True
task369,True,outputs\hybrid_6275_current_min_cost_onnx\task369.onnx,498,3315,,True
task370,True,outputs\hybrid_6275_current_min_cost_onnx\task370.onnx,813,15444,,True
task371,True,outputs\hybrid_6275_current_min_cost_onnx\task371.onnx,557,2475,,True
task372,True,outputs\hybrid_6275_current_min_cost_onnx\task372.onnx,108,664,,True
task373,True,outputs\hybrid_6275_current_min_cost_onnx\task373.onnx,36,581,,True
task374,True,outputs\hybrid_6275_current_min_cost_onnx\task374.onnx,588,5300,,True
task375,True,outputs\hybrid_6275_current_min_cost_onnx\task375.onnx,367,2214,,True
task376,True,outputs\hybrid_6275_current_min_cost_onnx\task376.onnx,343,2344,,True
task377,True,outputs\hybrid_6275_current_min_cost_onnx\task377.onnx,452,18685,,True
task378,True,outputs\hybrid_6275_current_min_cost_onnx\task378.onnx,384,5481,,True
task379,True,outputs\hybrid_6275_current_min_cost_onnx\task379.onnx,5364,9996,,True
task380,True,outputs\hybrid_6275_current_min_cost_onnx\task380.onnx,72,396,,True
task381,True,outputs\hybrid_6275_current_min_cost_onnx\task381.onnx,400,2035,,True
task382,True,outputs\hybrid_6275_current_min_cost_onnx\task382.onnx,3006,19127,,True
task383,True,outputs\hybrid_6275_current_min_cost_onnx\task383.onnx,105,3193,,True
task384,True,outputs\hybrid_6275_current_min_cost_onnx\task384.onnx,954,4308,,True
task385,True,outputs\hybrid_6275_current_min_cost_onnx\task385.onnx,270,175,,True
task386,True,outputs\hybrid_6275_current_min_cost_onnx\task386.onnx,0,1334,,True
task387,True,outputs\hybrid_6275_current_min_cost_onnx\task387.onnx,498,12388,,True
task388,True,outputs\hybrid_6275_current_min_cost_onnx\task388.onnx,1512,6536,,True
task389,True,outputs\hybrid_6275_current_min_cost_onnx\task389.onnx,250,1421,,True
task390,True,outputs\hybrid_6275_current_min_cost_onnx\task390.onnx,3123,5953,,True
task391,True,outputs\hybrid_6275_current_min_cost_onnx\task391.onnx,245,2841,,True
task392,True,outputs\hybrid_6275_current_min_cost_onnx\task392.onnx,7389,9738,,True
task393,True,outputs\hybrid_6275_current_min_cost_onnx\task393.onnx,63,1538,,True
task394,True,outputs\hybrid_6275_current_min_cost_onnx\task394.onnx,309,3787,,True
task395,True,outputs\hybrid_6275_current_min_cost_onnx\task395.onnx,297,1179,,True
task396,True,outputs\hybrid_6275_current_min_cost_onnx\task396.onnx,25442,26549,,True
task397,True,outputs\hybrid_6275_current_min_cost_onnx\task397.onnx,471,7195,,True
task398,True,outputs\hybrid_6275_current_min_cost_onnx\task398.onnx,6714,8682,,True
task399,True,outputs\hybrid_6275_current_min_cost_onnx\task399.onnx,2144,1907,,True
task400,True,outputs\hybrid_6275_current_min_cost_onnx\task400.onnx,345,3021,,True
