task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task056,archive,outputs\hybrid_6275_current_safe_onnx\task056.onnx,231,815,True,231,815,,True,592,1515,
task057,current,outputs\hybrid_6275_current_safe_onnx\task057.onnx,99,1880,True,173,1616,,True,99,1880,
task058,archive,outputs\hybrid_6275_current_safe_onnx\task058.onnx,19415,14194,True,19415,14194,,True,32257,27439,
task059,archive,outputs\hybrid_6275_current_safe_onnx\task059.onnx,7821,6897,True,7821,6897,,True,12909,12715,
task060,archive,outputs\hybrid_6275_current_safe_onnx\task060.onnx,771,2458,True,771,2458,,True,1057,3039,
task061,current,outputs\hybrid_6275_current_safe_onnx\task061.onnx,17726,17030,True,17726,17030,,True,17726,17030,
task062,archive,outputs\hybrid_6275_current_safe_onnx\task062.onnx,2994,23218,True,2994,23218,,True,4713,22124,
task063,current,outputs\hybrid_6275_current_safe_onnx\task063.onnx,276,3709,True,276,3709,,True,276,3709,
task064,archive,outputs\hybrid_6275_current_safe_onnx\task064.onnx,784,7151,True,784,7151,,True,978,5809,
task065,archive,outputs\hybrid_6275_current_safe_onnx\task065.onnx,369,1853,True,369,1853,,True,561,2705,
task066,current,outputs\hybrid_6275_current_safe_onnx\task066.onnx,430,180173,True,1236,27538,,True,430,180173,
task067,current,outputs\hybrid_6275_current_safe_onnx\task067.onnx,165,892,True,165,892,,True,165,892,
task068,archive,outputs\hybrid_6275_current_safe_onnx\task068.onnx,177,1602,True,177,1602,,True,199,2335,
task069,archive,outputs\hybrid_6275_current_safe_onnx\task069.onnx,4602,30432,True,4602,30432,,True,7362,32330,
task070,current,outputs\hybrid_6275_current_safe_onnx\task070.onnx,258,11844,True,258,11844,,True,258,11844,
task071,archive,outputs\hybrid_6275_current_safe_onnx\task071.onnx,393,5298,True,393,5298,,True,8238,12082,
task072,archive,outputs\hybrid_6275_current_safe_onnx\task072.onnx,255,1289,True,255,1289,,True,462,1625,
task073,current,outputs\hybrid_6275_current_safe_onnx\task073.onnx,4550,3825,True,4550,3825,,True,4550,3825,
task074,current,outputs\hybrid_6275_current_safe_onnx\task074.onnx,321,1824,True,321,1824,,True,321,1824,
task075,archive,outputs\hybrid_6275_current_safe_onnx\task075.onnx,507,6812,True,507,6812,,True,509,7736,
task076,archive,outputs\hybrid_6275_current_safe_onnx\task076.onnx,1461,24619,True,1461,24619,,True,17538,36146,
task077,archive,outputs\hybrid_6275_current_safe_onnx\task077.onnx,921,3638,True,921,3638,,True,6972,9860,
task078,archive,outputs\hybrid_6275_current_safe_onnx\task078.onnx,252,1974,True,252,1974,,True,276,2588,
task079,current,outputs\hybrid_6275_current_safe_onnx\task079.onnx,1301,2695,True,1301,2695,,True,1301,2695,
task080,archive,outputs\hybrid_6275_current_safe_onnx\task080.onnx,1198,10180,True,1198,10180,,True,9335,18484,
task081,current,outputs\hybrid_6275_current_safe_onnx\task081.onnx,627,3749,True,627,3749,,True,627,3749,
task082,archive,outputs\hybrid_6275_current_safe_onnx\task082.onnx,392,1638,True,392,1638,,True,443,2282,
task083,current,outputs\hybrid_6275_current_safe_onnx\task083.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task084,archive,outputs\hybrid_6275_current_safe_onnx\task084.onnx,499,2820,True,499,2820,,True,722,4301,
task085,current,outputs\hybrid_6275_current_safe_onnx\task085.onnx,558,2547,True,558,2547,,True,558,2547,
task086,archive,outputs\hybrid_6275_current_safe_onnx\task086.onnx,717,3099,True,717,3099,,True,1153,4727,
task087,archive,outputs\hybrid_6275_current_safe_onnx\task087.onnx,72,394,True,72,394,,True,144,474,
task088,archive,outputs\hybrid_6275_current_safe_onnx\task088.onnx,1008,4099,True,1008,4099,,True,10824,14980,
task089,archive,outputs\hybrid_6275_current_safe_onnx\task089.onnx,876,11171,True,876,11171,,True,879,17792,
task090,current,outputs\hybrid_6275_current_safe_onnx\task090.onnx,438,19660,True,438,19660,,True,438,19660,
task091,archive,outputs\hybrid_6275_current_safe_onnx\task091.onnx,702,4393,True,702,4393,,True,963,4627,
task092,current,outputs\hybrid_6275_current_safe_onnx\task092.onnx,90,4299,True,163,3438,,True,90,4299,
