task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task080,overrides,outputs\current_6352_53_stack\overrides\task080.onnx,outputs\candidates\terminal_output_cast_prune_6352_53\task080_overrides_TerminalOutputCastPruned.onnx,41855,32855,-9000,10133,10079,-54,,,0,,,True,1,0,,0,0,0,0,True,True,True,random_30x30_50_inputs; labelled_blocked_by_task_shape_gt_30,50,0.0,True,
task366,overrides,outputs\current_6352_53_stack\overrides\task366.onnx,outputs\candidates\terminal_output_cast_prune_6352_53\task366_overrides_TerminalOutputCastPruned.onnx,98352,89352,-9000,26447,26412,-35,,,0,,,True,1,0,,0,0,0,0,True,True,True,random_30x30_50_inputs; labelled_blocked_by_task_shape_gt_30,50,0.0,True,
