task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,shrunk_initializers,bytes_saved,failure_reason
task036,outputs\onnx\task036.onnx,outputs\candidates\int64_to_int32_shrink\task036_Int64ToInt32Shrink.onnx,1299,1299,0,5866,5866,0,0,0,no shrinkable initializers found
task037,outputs\onnx\task037.onnx,outputs\candidates\int64_to_int32_shrink\task037_Int64ToInt32Shrink.onnx,25086,25086,0,20424,20424,0,0,0,no shrinkable initializers found
task038,outputs\onnx\task038.onnx,outputs\candidates\int64_to_int32_shrink\task038_Int64ToInt32Shrink.onnx,493,493,0,2357,2357,0,0,0,no shrinkable initializers found
task039,outputs\onnx\task039.onnx,outputs\candidates\int64_to_int32_shrink\task039_Int64ToInt32Shrink.onnx,248,248,0,1913,1913,0,0,0,no shrinkable initializers found
task040,outputs\onnx\task040.onnx,outputs\candidates\int64_to_int32_shrink\task040_Int64ToInt32Shrink.onnx,370,370,0,4104,4104,0,0,0,no shrinkable initializers found
task041,outputs\onnx\task041.onnx,outputs\candidates\int64_to_int32_shrink\task041_Int64ToInt32Shrink.onnx,243,243,0,2228,2228,0,0,0,no shrinkable initializers found
task042,outputs\onnx\task042.onnx,outputs\candidates\int64_to_int32_shrink\task042_Int64ToInt32Shrink.onnx,888,888,0,8398,8398,0,0,0,no shrinkable initializers found
task043,outputs\onnx\task043.onnx,outputs\candidates\int64_to_int32_shrink\task043_Int64ToInt32Shrink.onnx,777,777,0,1966,1966,0,0,0,no shrinkable initializers found
task044,outputs\onnx\task044.onnx,outputs\candidates\int64_to_int32_shrink\task044_Int64ToInt32Shrink.onnx,6291,5267,-1024,148684,102173,-46511,1,1024,
task045,outputs\onnx\task045.onnx,outputs\candidates\int64_to_int32_shrink\task045_Int64ToInt32Shrink.onnx,244,244,0,1438,1438,0,0,0,no shrinkable initializers found
task046,outputs\onnx\task046.onnx,outputs\candidates\int64_to_int32_shrink\task046_Int64ToInt32Shrink.onnx,4446,4446,0,8963,8963,0,0,0,no shrinkable initializers found
task047,outputs\onnx\task047.onnx,outputs\candidates\int64_to_int32_shrink\task047_Int64ToInt32Shrink.onnx,747,747,0,3246,3246,0,0,0,no shrinkable initializers found
task048,outputs\onnx\task048.onnx,outputs\candidates\int64_to_int32_shrink\task048_Int64ToInt32Shrink.onnx,462,462,0,5695,5695,0,0,0,no shrinkable initializers found
task049,outputs\onnx\task049.onnx,outputs\candidates\int64_to_int32_shrink\task049_Int64ToInt32Shrink.onnx,942,942,0,3516,3516,0,0,0,no shrinkable initializers found
task050,outputs\onnx\task050.onnx,outputs\candidates\int64_to_int32_shrink\task050_Int64ToInt32Shrink.onnx,675,675,0,2540,2540,0,0,0,no shrinkable initializers found
task051,outputs\onnx\task051.onnx,outputs\candidates\int64_to_int32_shrink\task051_Int64ToInt32Shrink.onnx,658,658,0,3330,3330,0,0,0,no shrinkable initializers found
task052,outputs\onnx\task052.onnx,outputs\candidates\int64_to_int32_shrink\task052_Int64ToInt32Shrink.onnx,283,283,0,1277,1277,0,0,0,no shrinkable initializers found
task053,outputs\onnx\task053.onnx,outputs\candidates\int64_to_int32_shrink\task053_Int64ToInt32Shrink.onnx,270,270,0,175,175,0,0,0,no shrinkable initializers found
task054,outputs\onnx\task054.onnx,outputs\candidates\int64_to_int32_shrink\task054_Int64ToInt32Shrink.onnx,1061,1061,0,9728,9728,0,0,0,no shrinkable initializers found
task055,outputs\onnx\task055.onnx,outputs\candidates\int64_to_int32_shrink\task055_Int64ToInt32Shrink.onnx,5090,5090,0,21458,21458,0,0,0,no shrinkable initializers found
task056,outputs\onnx\task056.onnx,outputs\candidates\int64_to_int32_shrink\task056_Int64ToInt32Shrink.onnx,592,592,0,1515,1515,0,0,0,no shrinkable initializers found
task057,outputs\onnx\task057.onnx,outputs\candidates\int64_to_int32_shrink\task057_Int64ToInt32Shrink.onnx,99,99,0,1880,1880,0,0,0,no shrinkable initializers found
task058,outputs\onnx\task058.onnx,outputs\candidates\int64_to_int32_shrink\task058_Int64ToInt32Shrink.onnx,32257,32257,0,27439,27439,0,0,0,no shrinkable initializers found
task059,outputs\onnx\task059.onnx,outputs\candidates\int64_to_int32_shrink\task059_Int64ToInt32Shrink.onnx,12909,12909,0,12715,12715,0,0,0,no shrinkable initializers found
task060,outputs\onnx\task060.onnx,outputs\candidates\int64_to_int32_shrink\task060_Int64ToInt32Shrink.onnx,1057,1057,0,3039,3039,0,0,0,no shrinkable initializers found
task061,outputs\onnx\task061.onnx,outputs\candidates\int64_to_int32_shrink\task061_Int64ToInt32Shrink.onnx,17726,9950,-7776,17030,8991,-8039,1,7776,
task062,outputs\onnx\task062.onnx,outputs\candidates\int64_to_int32_shrink\task062_Int64ToInt32Shrink.onnx,4713,4713,0,22124,22124,0,0,0,no shrinkable initializers found
task063,outputs\onnx\task063.onnx,outputs\candidates\int64_to_int32_shrink\task063_Int64ToInt32Shrink.onnx,276,276,0,3709,3709,0,0,0,no shrinkable initializers found
task064,outputs\onnx\task064.onnx,outputs\candidates\int64_to_int32_shrink\task064_Int64ToInt32Shrink.onnx,978,978,0,5809,5809,0,0,0,no shrinkable initializers found
task065,outputs\onnx\task065.onnx,outputs\candidates\int64_to_int32_shrink\task065_Int64ToInt32Shrink.onnx,561,561,0,2705,2705,0,0,0,no shrinkable initializers found
task066,outputs\onnx\task066.onnx,outputs\candidates\int64_to_int32_shrink\task066_Int64ToInt32Shrink.onnx,430,430,0,180173,180173,0,0,0,no shrinkable initializers found
task067,outputs\onnx\task067.onnx,outputs\candidates\int64_to_int32_shrink\task067_Int64ToInt32Shrink.onnx,165,165,0,892,892,0,0,0,no shrinkable initializers found
task068,outputs\onnx\task068.onnx,outputs\candidates\int64_to_int32_shrink\task068_Int64ToInt32Shrink.onnx,199,199,0,2335,2335,0,0,0,no shrinkable initializers found
task069,outputs\onnx\task069.onnx,outputs\candidates\int64_to_int32_shrink\task069_Int64ToInt32Shrink.onnx,7362,7362,0,32330,32330,0,0,0,no shrinkable initializers found
task070,outputs\onnx\task070.onnx,outputs\candidates\int64_to_int32_shrink\task070_Int64ToInt32Shrink.onnx,258,258,0,11844,11844,0,0,0,no shrinkable initializers found
task071,outputs\onnx\task071.onnx,outputs\candidates\int64_to_int32_shrink\task071_Int64ToInt32Shrink.onnx,8238,8238,0,12082,12082,0,0,0,no shrinkable initializers found
task072,outputs\onnx\task072.onnx,outputs\candidates\int64_to_int32_shrink\task072_Int64ToInt32Shrink.onnx,462,462,0,1625,1625,0,0,0,no shrinkable initializers found
task073,outputs\onnx\task073.onnx,outputs\candidates\int64_to_int32_shrink\task073_Int64ToInt32Shrink.onnx,4550,4550,0,3825,3825,0,0,0,no shrinkable initializers found
task074,outputs\onnx\task074.onnx,outputs\candidates\int64_to_int32_shrink\task074_Int64ToInt32Shrink.onnx,321,321,0,1824,1824,0,0,0,no shrinkable initializers found
task075,outputs\onnx\task075.onnx,outputs\candidates\int64_to_int32_shrink\task075_Int64ToInt32Shrink.onnx,509,509,0,7736,7736,0,0,0,no shrinkable initializers found
task076,outputs\onnx\task076.onnx,outputs\candidates\int64_to_int32_shrink\task076_Int64ToInt32Shrink.onnx,17538,12130,-5408,36146,30738,-5408,1,5408,
task077,outputs\onnx\task077.onnx,outputs\candidates\int64_to_int32_shrink\task077_Int64ToInt32Shrink.onnx,6972,6972,0,9860,9860,0,0,0,no shrinkable initializers found
task078,outputs\onnx\task078.onnx,outputs\candidates\int64_to_int32_shrink\task078_Int64ToInt32Shrink.onnx,276,276,0,2588,2588,0,0,0,no shrinkable initializers found
task079,outputs\onnx\task079.onnx,outputs\candidates\int64_to_int32_shrink\task079_Int64ToInt32Shrink.onnx,1301,1301,0,2695,2695,0,0,0,no shrinkable initializers found
task080,outputs\onnx\task080.onnx,outputs\candidates\int64_to_int32_shrink\task080_Int64ToInt32Shrink.onnx,9335,9335,0,18484,18484,0,0,0,no shrinkable initializers found
task081,outputs\onnx\task081.onnx,outputs\candidates\int64_to_int32_shrink\task081_Int64ToInt32Shrink.onnx,627,627,0,3749,3749,0,0,0,no shrinkable initializers found
task082,outputs\onnx\task082.onnx,outputs\candidates\int64_to_int32_shrink\task082_Int64ToInt32Shrink.onnx,443,443,0,2282,2282,0,0,0,no shrinkable initializers found
task083,outputs\onnx\task083.onnx,outputs\candidates\int64_to_int32_shrink\task083_Int64ToInt32Shrink.onnx,9000,9000,0,7454,7454,0,0,0,no shrinkable initializers found
task084,outputs\onnx\task084.onnx,outputs\candidates\int64_to_int32_shrink\task084_Int64ToInt32Shrink.onnx,722,722,0,4301,4301,0,0,0,no shrinkable initializers found
task085,outputs\onnx\task085.onnx,outputs\candidates\int64_to_int32_shrink\task085_Int64ToInt32Shrink.onnx,558,558,0,2547,2547,0,0,0,no shrinkable initializers found
task086,outputs\onnx\task086.onnx,outputs\candidates\int64_to_int32_shrink\task086_Int64ToInt32Shrink.onnx,1153,1153,0,4727,4727,0,0,0,no shrinkable initializers found
task087,outputs\onnx\task087.onnx,outputs\candidates\int64_to_int32_shrink\task087_Int64ToInt32Shrink.onnx,144,144,0,474,474,0,0,0,no shrinkable initializers found
task088,outputs\onnx\task088.onnx,outputs\candidates\int64_to_int32_shrink\task088_Int64ToInt32Shrink.onnx,10824,10824,0,14980,14980,0,0,0,no shrinkable initializers found
task089,outputs\onnx\task089.onnx,outputs\candidates\int64_to_int32_shrink\task089_Int64ToInt32Shrink.onnx,879,879,0,17792,17792,0,0,0,no shrinkable initializers found
task090,outputs\onnx\task090.onnx,outputs\candidates\int64_to_int32_shrink\task090_Int64ToInt32Shrink.onnx,438,438,0,19660,19660,0,0,0,no shrinkable initializers found
task091,outputs\onnx\task091.onnx,outputs\candidates\int64_to_int32_shrink\task091_Int64ToInt32Shrink.onnx,963,963,0,4627,4627,0,0,0,no shrinkable initializers found
task092,outputs\onnx\task092.onnx,outputs\candidates\int64_to_int32_shrink\task092_Int64ToInt32Shrink.onnx,90,90,0,4299,4299,0,0,0,no shrinkable initializers found
task093,outputs\onnx\task093.onnx,outputs\candidates\int64_to_int32_shrink\task093_Int64ToInt32Shrink.onnx,667,667,0,5415,5415,0,0,0,no shrinkable initializers found
task094,outputs\onnx\task094.onnx,outputs\candidates\int64_to_int32_shrink\task094_Int64ToInt32Shrink.onnx,802,802,0,3767,3767,0,0,0,no shrinkable initializers found
task095,outputs\onnx\task095.onnx,outputs\candidates\int64_to_int32_shrink\task095_Int64ToInt32Shrink.onnx,4550,4550,0,3950,3950,0,0,0,no shrinkable initializers found
task096,outputs\onnx\task096.onnx,outputs\candidates\int64_to_int32_shrink\task096_Int64ToInt32Shrink.onnx,8858,8858,0,64252,64252,0,0,0,no shrinkable initializers found
task097,outputs\onnx\task097.onnx,outputs\candidates\int64_to_int32_shrink\task097_Int64ToInt32Shrink.onnx,1938,1938,0,2494,2494,0,0,0,no shrinkable initializers found
task098,outputs\onnx\task098.onnx,outputs\candidates\int64_to_int32_shrink\task098_Int64ToInt32Shrink.onnx,4550,4550,0,3836,3836,0,0,0,no shrinkable initializers found
task099,outputs\onnx\task099.onnx,outputs\candidates\int64_to_int32_shrink\task099_Int64ToInt32Shrink.onnx,24550,24550,0,19839,19839,0,0,0,no shrinkable initializers found
task100,outputs\onnx\task100.onnx,outputs\candidates\int64_to_int32_shrink\task100_Int64ToInt32Shrink.onnx,335,335,0,4954,4954,0,0,0,no shrinkable initializers found
task101,outputs\onnx\task101.onnx,outputs\candidates\int64_to_int32_shrink\task101_Int64ToInt32Shrink.onnx,14360,14360,0,39301,39301,0,0,0,no shrinkable initializers found
task102,outputs\onnx\task102.onnx,outputs\candidates\int64_to_int32_shrink\task102_Int64ToInt32Shrink.onnx,1137,1137,0,22167,22167,0,0,0,no shrinkable initializers found
task103,outputs\onnx\task103.onnx,outputs\candidates\int64_to_int32_shrink\task103_Int64ToInt32Shrink.onnx,425,425,0,1669,1669,0,0,0,no shrinkable initializers found
task104,outputs\onnx\task104.onnx,outputs\candidates\int64_to_int32_shrink\task104_Int64ToInt32Shrink.onnx,5414,5414,0,6350,6350,0,0,0,no shrinkable initializers found
task105,outputs\onnx\task105.onnx,outputs\candidates\int64_to_int32_shrink\task105_Int64ToInt32Shrink.onnx,36364,36364,0,35291,35291,0,0,0,no shrinkable initializers found
task106,outputs\onnx\task106.onnx,outputs\candidates\int64_to_int32_shrink\task106_Int64ToInt32Shrink.onnx,746,746,0,2939,2939,0,0,0,no shrinkable initializers found
task107,outputs\onnx\task107.onnx,outputs\candidates\int64_to_int32_shrink\task107_Int64ToInt32Shrink.onnx,42039,42039,0,31191,31191,0,0,0,no shrinkable initializers found
task108,outputs\onnx\task108.onnx,outputs\candidates\int64_to_int32_shrink\task108_Int64ToInt32Shrink.onnx,9000,9000,0,7454,7454,0,0,0,no shrinkable initializers found
task109,outputs\onnx\task109.onnx,outputs\candidates\int64_to_int32_shrink\task109_Int64ToInt32Shrink.onnx,2541,2541,0,5491,5491,0,0,0,no shrinkable initializers found
task110,outputs\onnx\task110.onnx,outputs\candidates\int64_to_int32_shrink\task110_Int64ToInt32Shrink.onnx,4623,4623,0,21494,21494,0,0,0,no shrinkable initializers found
task111,outputs\onnx\task111.onnx,outputs\candidates\int64_to_int32_shrink\task111_Int64ToInt32Shrink.onnx,248,248,0,1457,1457,0,0,0,no shrinkable initializers found
task112,outputs\onnx\task112.onnx,outputs\candidates\int64_to_int32_shrink\task112_Int64ToInt32Shrink.onnx,564,564,0,3987,3987,0,0,0,no shrinkable initializers found
task113,outputs\onnx\task113.onnx,outputs\candidates\int64_to_int32_shrink\task113_Int64ToInt32Shrink.onnx,270,270,0,499,499,0,0,0,no shrinkable initializers found
task114,outputs\onnx\task114.onnx,outputs\candidates\int64_to_int32_shrink\task114_Int64ToInt32Shrink.onnx,934,934,0,4719,4719,0,0,0,no shrinkable initializers found
task115,outputs\onnx\task115.onnx,outputs\candidates\int64_to_int32_shrink\task115_Int64ToInt32Shrink.onnx,429,429,0,5069,5069,0,0,0,no shrinkable initializers found
task116,outputs\onnx\task116.onnx,outputs\candidates\int64_to_int32_shrink\task116_Int64ToInt32Shrink.onnx,270,270,0,479,479,0,0,0,no shrinkable initializers found
task117,outputs\onnx\task117.onnx,outputs\candidates\int64_to_int32_shrink\task117_Int64ToInt32Shrink.onnx,2113,2113,0,8103,8103,0,0,0,no shrinkable initializers found
task118,outputs\onnx\task118.onnx,outputs\candidates\int64_to_int32_shrink\task118_Int64ToInt32Shrink.onnx,9433,9433,0,160396,160396,0,0,0,no shrinkable initializers found
task119,outputs\onnx\task119.onnx,outputs\candidates\int64_to_int32_shrink\task119_Int64ToInt32Shrink.onnx,5856,5856,0,25915,25915,0,0,0,no shrinkable initializers found
task120,outputs\onnx\task120.onnx,outputs\candidates\int64_to_int32_shrink\task120_Int64ToInt32Shrink.onnx,4550,4550,0,3836,3836,0,0,0,no shrinkable initializers found
task121,outputs\onnx\task121.onnx,outputs\candidates\int64_to_int32_shrink\task121_Int64ToInt32Shrink.onnx,366,366,0,3339,3339,0,0,0,no shrinkable initializers found
task122,outputs\onnx\task122.onnx,outputs\candidates\int64_to_int32_shrink\task122_Int64ToInt32Shrink.onnx,12550,12550,0,10236,10236,0,0,0,no shrinkable initializers found
task123,outputs\onnx\task123.onnx,outputs\candidates\int64_to_int32_shrink\task123_Int64ToInt32Shrink.onnx,8497,4897,-3600,8997,4965,-4032,1,3600,
task124,outputs\onnx\task124.onnx,outputs\candidates\int64_to_int32_shrink\task124_Int64ToInt32Shrink.onnx,3113,3113,0,4339,4339,0,0,0,no shrinkable initializers found
task125,outputs\onnx\task125.onnx,outputs\candidates\int64_to_int32_shrink\task125_Int64ToInt32Shrink.onnx,644,644,0,3032,3032,0,0,0,no shrinkable initializers found
task126,outputs\onnx\task126.onnx,outputs\candidates\int64_to_int32_shrink\task126_Int64ToInt32Shrink.onnx,347,347,0,2765,2765,0,0,0,no shrinkable initializers found
task127,outputs\onnx\task127.onnx,outputs\candidates\int64_to_int32_shrink\task127_Int64ToInt32Shrink.onnx,4500,4500,0,3772,3772,0,0,0,no shrinkable initializers found
task128,outputs\onnx\task128.onnx,outputs\candidates\int64_to_int32_shrink\task128_Int64ToInt32Shrink.onnx,906,906,0,3365,3365,0,0,0,no shrinkable initializers found
task129,outputs\onnx\task129.onnx,outputs\candidates\int64_to_int32_shrink\task129_Int64ToInt32Shrink.onnx,258,258,0,1196,1196,0,0,0,no shrinkable initializers found
task130,outputs\onnx\task130.onnx,outputs\candidates\int64_to_int32_shrink\task130_Int64ToInt32Shrink.onnx,608,608,0,1293,1293,0,0,0,no shrinkable initializers found
task131,outputs\onnx\task131.onnx,outputs\candidates\int64_to_int32_shrink\task131_Int64ToInt32Shrink.onnx,4943,4943,0,12030,12030,0,0,0,no shrinkable initializers found
task132,outputs\onnx\task132.onnx,outputs\candidates\int64_to_int32_shrink\task132_Int64ToInt32Shrink.onnx,436,436,0,3762,3762,0,0,0,no shrinkable initializers found
task133,outputs\onnx\task133.onnx,outputs\candidates\int64_to_int32_shrink\task133_Int64ToInt32Shrink.onnx,1406822,1147622,-259200,783434,961210,177776,2,259200,
task134,outputs\onnx\task134.onnx,outputs\candidates\int64_to_int32_shrink\task134_Int64ToInt32Shrink.onnx,600,600,0,7220,7220,0,0,0,no shrinkable initializers found
task135,outputs\onnx\task135.onnx,outputs\candidates\int64_to_int32_shrink\task135_Int64ToInt32Shrink.onnx,54,54,0,381,381,0,0,0,no shrinkable initializers found
task136,outputs\onnx\task136.onnx,outputs\candidates\int64_to_int32_shrink\task136_Int64ToInt32Shrink.onnx,2229,2229,0,4980,4980,0,0,0,no shrinkable initializers found
task137,outputs\onnx\task137.onnx,outputs\candidates\int64_to_int32_shrink\task137_Int64ToInt32Shrink.onnx,2028,2028,0,3864,3864,0,0,0,no shrinkable initializers found
task138,outputs\onnx\task138.onnx,outputs\candidates\int64_to_int32_shrink\task138_Int64ToInt32Shrink.onnx,789,789,0,11562,11562,0,0,0,no shrinkable initializers found
task139,outputs\onnx\task139.onnx,outputs\candidates\int64_to_int32_shrink\task139_Int64ToInt32Shrink.onnx,988,988,0,3865,3865,0,0,0,no shrinkable initializers found
task140,outputs\onnx\task140.onnx,outputs\candidates\int64_to_int32_shrink\task140_Int64ToInt32Shrink.onnx,144,144,0,474,474,0,0,0,no shrinkable initializers found
task141,outputs\onnx\task141.onnx,outputs\candidates\int64_to_int32_shrink\task141_Int64ToInt32Shrink.onnx,409,409,0,2345,2345,0,0,0,no shrinkable initializers found
task142,outputs\onnx\task142.onnx,outputs\candidates\int64_to_int32_shrink\task142_Int64ToInt32Shrink.onnx,9000,9000,0,7454,7454,0,0,0,no shrinkable initializers found
task143,outputs\onnx\task143.onnx,outputs\candidates\int64_to_int32_shrink\task143_Int64ToInt32Shrink.onnx,465,465,0,2690,2690,0,0,0,no shrinkable initializers found
task144,outputs\onnx\task144.onnx,outputs\candidates\int64_to_int32_shrink\task144_Int64ToInt32Shrink.onnx,322,322,0,1639,1639,0,0,0,no shrinkable initializers found
task145,outputs\onnx\task145.onnx,outputs\candidates\int64_to_int32_shrink\task145_Int64ToInt32Shrink.onnx,2979,2979,0,31434,31434,0,0,0,no shrinkable initializers found
task146,outputs\onnx\task146.onnx,outputs\candidates\int64_to_int32_shrink\task146_Int64ToInt32Shrink.onnx,203,203,0,1894,1894,0,0,0,no shrinkable initializers found
