task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task034,overrides,outputs\current_6352_53_stack\overrides\task034.onnx,,353,353,0,4303,4303,0,258,258,0,15,15,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task035,overrides,outputs\current_6352_53_stack\overrides\task035.onnx,,455,455,0,3707,3707,0,404,404,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task036,overrides,outputs\current_6352_53_stack\overrides\task036.onnx,,867,867,0,3950,3950,0,756,756,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task037,overrides,outputs\current_6352_53_stack\overrides\task037.onnx,,25086,25086,0,19527,19527,0,16760,16760,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task038,overrides,outputs\current_6352_53_stack\overrides\task038.onnx,,298,298,0,2559,2559,0,260,260,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task039,overrides,outputs\current_6352_53_stack\overrides\task039.onnx,,248,248,0,1913,1913,0,220,220,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task040,overrides,outputs\current_6352_53_stack\overrides\task040.onnx,,370,370,0,4167,4167,0,308,308,0,20,20,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task041,overrides,outputs\current_6352_53_stack\overrides\task041.onnx,,187,187,0,2110,2110,0,158,158,0,7,7,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task042,overrides,outputs\current_6352_53_stack\overrides\task042.onnx,,2448,2448,0,6490,6490,0,1720,1720,0,23,23,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task043,overrides,outputs\current_6352_53_stack\overrides\task043.onnx,,772,772,0,2224,2224,0,634,634,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task044,overrides,outputs\current_6352_53_stack\overrides\task044.onnx,,1187,1187,0,22235,22235,0,1000,1000,0,28,28,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task045,overrides,outputs\current_6352_53_stack\overrides\task045.onnx,,225,225,0,1425,1425,0,200,200,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task046,overrides,outputs\current_6352_53_stack\overrides\task046.onnx,,2772,2772,0,7494,7494,0,1906,1906,0,26,26,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task047,overrides,outputs\current_6352_53_stack\overrides\task047.onnx,,324,324,0,3091,3091,0,288,288,0,8,8,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task048,overrides,outputs\current_6352_53_stack\overrides\task048.onnx,,396,396,0,4064,4064,0,330,330,0,15,15,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task049,overrides,outputs\current_6352_53_stack\overrides\task049.onnx,,1276,1276,0,3265,3265,0,1126,1126,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task050,overrides,outputs\current_6352_53_stack\overrides\task050.onnx,,675,675,0,1939,1939,0,425,425,0,9,9,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task051,overrides,outputs\current_6352_53_stack\overrides\task051.onnx,,713,713,0,3039,3039,0,624,624,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task052,overrides,outputs\current_6352_53_stack\overrides\task052.onnx,,231,231,0,986,986,0,188,188,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task053,overrides,outputs\current_6352_53_stack\overrides\task053.onnx,,270,270,0,175,175,0,240,240,0,1,1,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task054,overrides,outputs\current_6352_53_stack\overrides\task054.onnx,,14339,14339,0,48606,48606,0,11880,11880,0,105,105,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task055,overrides,outputs\current_6352_53_stack\overrides\task055.onnx,,2907,2907,0,3952,3952,0,1942,1942,0,8,8,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task056,overrides,outputs\current_6352_53_stack\overrides\task056.onnx,,231,231,0,815,815,0,154,154,0,3,3,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task057,overrides,outputs\current_6352_53_stack\overrides\task057.onnx,,173,173,0,1616,1616,0,153,153,0,6,6,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task058,overrides,outputs\current_6352_53_stack\overrides\task058.onnx,,19415,19415,0,14194,14194,0,12989,12989,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task059,overrides,outputs\current_6352_53_stack\overrides\task059.onnx,,7821,7821,0,6897,6897,0,5274,5274,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task060,overrides,outputs\current_6352_53_stack\overrides\task060.onnx,,771,771,0,2458,2458,0,590,590,0,18,18,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task061,overrides,outputs\current_6352_53_stack\overrides\task061.onnx,,17726,17726,0,17030,17030,0,15754,15754,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task062,overrides,outputs\current_6352_53_stack\overrides\task062.onnx,,2976,2976,0,4028,4028,0,2024,2024,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task063,overrides,outputs\current_6352_53_stack\overrides\task063.onnx,,276,276,0,3709,3709,0,244,244,0,13,13,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task064,overrides,outputs\current_6352_53_stack\overrides\task064.onnx,,723,723,0,3883,3883,0,637,637,0,18,18,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task065,overrides,outputs\current_6352_53_stack\overrides\task065.onnx,,249,249,0,1936,1936,0,186,186,0,12,12,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task066,overrides,outputs\current_6352_53_stack\overrides\task066.onnx,,860,860,0,16114,16114,0,722,722,0,21,21,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task067,overrides,outputs\current_6352_53_stack\overrides\task067.onnx,,165,165,0,892,892,0,132,132,0,4,4,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task068,overrides,outputs\current_6352_53_stack\overrides\task068.onnx,,177,177,0,1602,1602,0,150,150,0,11,11,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task069,overrides,outputs\current_6352_53_stack\overrides\task069.onnx,,4566,4566,0,30370,30370,0,3178,3178,0,43,43,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task070,overrides,outputs\current_6352_53_stack\overrides\task070.onnx,,258,258,0,11844,11844,0,180,180,0,16,16,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
task071,overrides,outputs\current_6352_53_stack\overrides\task071.onnx,,3722,3722,0,7954,7954,0,2578,2578,0,26,26,False,0,0,0,0,0,0,0,True,True,True,True,0,,False,
